,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
ykgR,1.3364175068098407,1.0,308851.0,uncharacterized protein,b4671,
ykgP,1.3307681062511627,1.0,309426.0,No_gene_product,b4630,
iraM,1.3345146583011067,2.0,1207296.0,"RpoS stabilzer during Mg starvation, anti-RssB factor",b1160,
ymgI,1.3121311045202917,3.0,1218560.0,uncharacterized protein,b4593,
ldrA,1.6609015848884725,4.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.6432161834386576,4.0,1265693.0,"toxic polypeptide, small",b4423,
tfaR,1.8378032916176905,5.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,1.8056511748102118,5.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ynbG,1.3640610581082813,6.0,1459456.0,uncharacterized protein,b4674,
ydfK,1.8179984992117226,7.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.8453779400812853,7.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
yobI,1.320871789777676,8.0,1940371.0,uncharacterized protein,b4677,
yqcG,1.369582395675658,9.0,2898944.0,membrane stress resistance protein,b4682,
yqeL,1.5144808246618306,10.0,2983177.0,uncharacterized protein,b4683,
yqeK,1.474042238176667,10.0,2983293.0,uncharacterized protein,b2849,
ygeH,1.382467848934715,10.0,2985452.0,putative transcriptional regulator,b2852,
ygeI,1.467481264644514,10.0,2987008.0,uncharacterized protein,b2853,
ysaC,1.3472061825823016,11.0,3744256.0,No_gene_product,b4648,
yibW,1.409786101158083,12.0,3762251.0,No_gene_product,b4651,
yibV,1.4061749951062317,12.0,3762704.0,No_gene_product,b4615,
waaL,1.3438609462367437,13.0,3790848.0,O-antigen ligase,b3622,"['O16A4Lpp', 'ECA4OALpp']"
waaU,1.3522403492115405,13.0,3791598.0,lipopolysaccharide core biosynthesis,b3623,['HEPT4']
waaS,1.3982619790157305,14.0,3797540.0,lipopolysaccharide rhamnose:KdoIII transferase; lipopolysaccharide core biosynthesis protein,b3629,['RHAT1']
yjbS,1.354739244740606,15.0,4258816.0,uncharacterized protein,b4621,
