,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
ykgP,1.3301076457874574,1.0,309426.0,No_gene_product,b4630,
tfaR,1.6973711204748982,2.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,1.6113407979030494,2.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ydfK,1.5942902407846207,3.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.6728964666111539,3.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
wbbK,1.3669853715510116,4.0,2097152.0,lipopolysaccharide biosynthesis protein,b2032,frozenset({<Reaction O16GLCT1 at 0x7fcfa67311d0>})
wbbH,1.4174920513481735,4.0,2099540.0,O-antigen polymerase,b2035,"frozenset({<Reaction O16AP3pp at 0x7fcfa6724a90>, <Reaction O16AP1pp at 0x7fcfa6724a58>, <Reaction O16AP2pp at 0x7fcfa6724860>})"
glf,1.3740339719599732,4.0,2101248.0,"UDP-galactopyranose mutase, FAD/NAD(P)-binding",b2036,frozenset({<Reaction UDPGALM at 0x7fcfa657f160>})
yehD,1.3581642729800352,5.0,2185216.0,putative fimbrial-like adhesin protein,b2111,
yeiS,1.4298739287490183,6.0,2227200.0,DUF2542 family protein,b2145,
eco,1.3964557375591182,7.0,2297856.0,"ecotin, a serine protease inhibitor",b2209,
nudI,1.3346957310164456,8.0,2358032.0,nucleoside triphosphatase,b2251,"frozenset({<Reaction DUTPDP at 0x7fcfa6a93080>, <Reaction NTPP7 at 0x7fcfa67242b0>, <Reaction NTPP3 at 0x7fcfa6717d30>})"
yfbN,1.5205212815287732,9.0,2381824.0,uncharacterized protein,b2273,
yfbO,1.5087714181310554,9.0,2382113.0,uncharacterized protein,b2274,
yfdF,1.4489560219116495,10.0,2456490.0,uncharacterized protein,b2345,
gtrB,1.438421531010866,10.0,2461696.0,CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase,b2351,
gtrS,1.6750986168936417,10.0,2463744.0,"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage",b2352,
evgA,1.4494341291831505,11.0,2477233.0,response regulator in two-component regulatory system with EvgS,b2369,
frc,1.3813622656171114,11.0,2486272.0,"formyl-CoA transferase, NAD(P)-binding",b2374,frozenset({<Reaction FORCT at 0x7fcfa6997748>})
ypdI,1.4601001597334904,11.0,2488320.0,putative lipoprotein involved in colanic acid biosynthesis,b2376,
yffQ,1.342335932465831,12.0,2556950.0,CPZ-55 prophage; uncharacterized protein,b2448,
yffR,1.3762301499899663,12.0,2557338.0,CPZ-55 prophage; uncharacterized protein,b2449,
ypfM,1.4370777891315543,13.0,2584192.0,stress-induced small enterobacterial protein,b4606,
yfgG,1.3959788420773422,14.0,2622648.0,uncharacterized protein,b2504,
yfgH,1.4405300615346275,14.0,2623488.0,outer membrane integrity lipoprotein,b2505,
iscX,1.3724369498271038,15.0,2649894.0,Fe(2+) donor and activity modulator for cysteine desulfurase,b2524,
yfhL,1.4461224237409276,16.0,2693120.0,putative 4Fe-4S cluster-containing protein,b2562,
shoB,1.3616869615764287,16.0,2693504.0,toxic membrane protein,b4687,
acpS,1.4068544459558832,16.0,2693976.0,holo-[acyl-carrier-protein] synthase 1,b2563,frozenset({<Reaction ACPS1 at 0x7fcfa6bf3588>})
rpoE,1.3243507146270546,17.0,2703360.0,RNA polymerase sigma E factor,b2573,
raiA,1.40603281276417,18.0,2730512.0,cold shock protein associated with 30S ribosomal subunit,b2597,
pheL,1.6261021598528,18.0,2730957.0,pheA gene leader peptide,b2598,
yfjI,1.5527954460346596,19.0,2752512.0,CP4-57 prophage; uncharacterized protein,b2625,
yfjK,1.4035458053628966,19.0,2754709.0,radiation resistance protein; DEAD/H helicase-like protein; CP4-57 putative defective prophage,b2627,
rnlB,1.3498052153216191,19.0,2760704.0,CP4-57 prophage; uncharacterized protein,b2631,
ypjF,1.3932613018941864,20.0,2770944.0,CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system,b2646,
ypjC,1.5094202171733992,20.0,2777088.0,No_gene_product,b2650,
ygaQ,1.4254341430354343,20.0,2779755.0,No_gene_product,b4462,
yqaE,1.3556872943080618,21.0,2790228.0,cyaR sRNA-regulated protein,b2666,
srlM,1.365695947506311,22.0,2822144.0,sorbitol=responsive srl operon transcriptional activator,b2706,
cysC,1.3867842728787638,23.0,2867200.0,adenosine 5'-phosphosulfate kinase,b2750,frozenset({<Reaction ADSK at 0x7fcfa6c09e10>})
iap,1.4012951636258888,23.0,2869939.0,aminopeptidase in alkaline phosphatase isozyme conversion,b2753,
casA,1.3920192343608364,24.0,2875988.0,CRISP RNA (crRNA) containing Cascade antiviral complex protein,b2760,
yqcG,1.5138718054298383,25.0,2898944.0,membrane stress resistance protein,b4682,
ygcG,1.5785144064931445,25.0,2899069.0,"TPM domain protein, putative phosphatase",b2778,
eno,1.3682912388966992,25.0,2900001.0,enolase,b2779,frozenset({<Reaction ENO at 0x7fcfa6a362e8>})
gudD,1.3731729537451456,26.0,2912256.0,D-glucarate dehydratase 1,b2787,frozenset({<Reaction GLCRD at 0x7fcfa6986eb8>})
yqcC,1.4315923321192114,26.0,2917376.0,DUF446 family protein,b2792,
ygdI,1.5810253726638315,27.0,2936320.0,DUF903 family verified lipoprotein,b2809,
ppdC,1.450121816161661,28.0,2955799.0,putative prepilin peptidase-dependent protein,b2823,
ygdR,1.4169194630406268,29.0,2964629.0,DUF903 family verified lipoprotein,b2833,
kduI,1.4072012882404679,30.0,2976646.0,hexuronate isomerase,b2843,
yqeH,1.4619806710145546,30.0,2980894.0,putative LuxR family transcriptional regulator,b2846,
yqeI,1.5352911031407546,30.0,2981888.0,putative transcriptional regulator,b2847,
yqeJ,1.5689783808360025,30.0,2982662.0,uncharacterized protein,b2848,
yqeL,1.720716964307191,30.0,2983177.0,uncharacterized protein,b4683,
yqeK,1.6726623216366403,30.0,2983293.0,uncharacterized protein,b2849,
ygeF,1.5690618601484843,30.0,2983936.0,No_gene_product,b2850,
ygeG,1.6423059650492904,30.0,2984626.0,SycD-like chaperone family TPR-repeat-containing protein,b2851,
ygeH,1.5773560781737543,30.0,2985452.0,putative transcriptional regulator,b2852,
ygeI,1.7984263273690093,30.0,2987008.0,uncharacterized protein,b2853,
pbl,1.6696710036440026,30.0,2987297.0,No_gene_product,b2854,
ygeN,1.7561398562392574,30.0,2988672.0,No_gene_product,b2858,
ygeO,1.4760113189928283,30.0,2989320.0,No_gene_product,b2859,
ygeQ,1.5029933634411452,30.0,2992128.0,No_gene_product,b2863,
yqgC,1.3467729866154325,31.0,3079680.0,uncharacterized protein,b2940,
yghW,1.3538023945385624,32.0,3139808.0,DUF2623 family protein,b2998,
yqhA,1.425084415772595,32.0,3142335.0,UPF0114 family putative inner membrane protein,b3002,
yqhH,1.3556030016606138,33.0,3151985.0,"outer membrane lipoprotein, Lpp paralog",b3014,
