,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
ykfM,1.364604318613562,1.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
ykgS,1.8951967011296793,2.0,286208.0,No_gene_product,b4688,
ykgP,1.303997238534788,3.0,309426.0,No_gene_product,b4630,
iraM,1.3734244757975833,4.0,1207296.0,"RpoS stabilzer during Mg starvation, anti-RssB factor",b1160,
ymgC,1.3540838901651513,5.0,1212416.0,"Blue light, low temperature and stress induced protein",b1167,
ldrA,1.4591060027280744,6.0,1264640.0,"toxic polypeptide, small",b4419,
tpr,1.3445699615812854,7.0,1282560.0,protamine-like protein,b1229,
ydaE,1.3728276230558074,8.0,1412096.0,"conserved protein, Rac prophage",b4526,
tfaR,1.6986087084057926,9.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,1.694245577765826,9.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ynbG,1.558934145401769,10.0,1459456.0,uncharacterized protein,b4674,
yncH,1.3148245582490161,11.0,1521196.0,IPR020099 family protein,b1455,
ydfK,1.72453457908458,12.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.6975652523103617,12.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
wbbI,1.4135624720635822,13.0,2099200.0,"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase",b2034,frozenset({<Reaction O16GALFT at 0x7fcfa6731048>})
rcnR,1.349110196338963,14.0,2179072.0,transcriptional repressor of rcnA,b2105,
yehD,1.548261293221965,15.0,2185216.0,putative fimbrial-like adhesin protein,b2111,
yeiS,1.466713388299293,16.0,2227200.0,DUF2542 family protein,b2145,
ccmD,1.4390716456957982,17.0,2288855.0,cytochrome c biogenesis protein; heme export ABC transporter holo-CcmE release factor,b2198,frozenset({<Reaction PHEMEabcpp at 0x7fcfa670bf98>})
eco,1.3634447887471264,18.0,2297856.0,"ecotin, a serine protease inhibitor",b2209,
inaA,1.3509124617077544,19.0,2342912.0,acid-inducible Kdo/WaaP family putative kinase,b2237,
yfaH,1.3572308538777136,19.0,2343129.0,No_gene_product,b2238,
nudI,1.3776482130406358,20.0,2358032.0,nucleoside triphosphatase,b2251,"frozenset({<Reaction DUTPDP at 0x7fcfa6a93080>, <Reaction NTPP7 at 0x7fcfa67242b0>, <Reaction NTPP3 at 0x7fcfa6717d30>})"
elaD,1.438512120873021,21.0,2376191.0,"protease, capable of cleaving an AMC-ubiquitin model substrate",b2269,
yfbM,1.4904715616937008,21.0,2380412.0,DUF1877 family protein,b2272,
yfbN,1.3882969584133176,21.0,2381824.0,uncharacterized protein,b2273,
yfbO,1.5882448998570413,21.0,2382113.0,uncharacterized protein,b2274,
yfbP,1.4355573851883028,21.0,2382594.0,TPR-like repeats-containing protein,b2275,
nuoA,1.4220460179577616,22.0,2398208.0,"NADH:ubiquinone oxidoreductase, membrane subunit A",b2288,"frozenset({<Reaction NADH16pp at 0x7fcfa67c6208>, <Reaction NADH18pp at 0x7fcfa67c6390>, <Reaction NADH17pp at 0x7fcfa67c62b0>})"
yfcI,1.3565859939008156,23.0,2416640.0,transposase_31 family protein,b2305,
yfdF,1.5653655167754752,24.0,2456490.0,uncharacterized protein,b2345,
gtrB,1.430897096108355,24.0,2461696.0,CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase,b2351,
gtrS,1.7789473782969043,24.0,2463744.0,"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage",b2352,
yfdR,1.4407969613588496,25.0,2468462.0,CPS-53 (KpLE1) prophage; conserved protein,b2361,
yfdS,1.440424347488247,25.0,2468989.0,CPS-53 (KpLE1) prophage; uncharacterized protein,b2362,
dsdX,1.393565058938162,25.0,2471936.0,D-serine transporter,b2365,
emrY,1.4020881445075601,25.0,2474116.0,putative multidrug efflux system,b2367,
emrK,1.4595444126028327,25.0,2476032.0,multidrug resistance efflux pump membrane fusion protein,b2368,
evgA,1.458976927257089,25.0,2477233.0,response regulator in two-component regulatory system with EvgS,b2369,
yfdX,1.3687766571197502,26.0,2487245.0,uncharacterized protein,b2375,
yfdY,1.3049632557501807,26.0,2488528.0,DUF2545 family putative inner membrane protein,b2377,
ypdK,1.3710619336947203,26.0,2490399.0,inner membrane protein,b4680,
ypeC,1.327497235309882,27.0,2504704.0,DUF2502 family putative periplasmic protein,b2390,
yfeN,1.409713122497556,28.0,2519040.0,putative outer membrane protein,b2408,
ucpA,1.3706610174590832,29.0,2537472.0,"furfural resistance protein, putative short-chain oxidoreductase",b2426,
yfeY,1.3249332991363238,30.0,2543999.0,RpoE-regulated lipoprotein,b2432,
yffM,1.4283583816039869,31.0,2554880.0,CPZ-55 prophage; uncharacterized protein,b2444,
yffR,1.5738642310405682,31.0,2557338.0,CPZ-55 prophage; uncharacterized protein,b2449,
eutN,1.4206753178548395,32.0,2565121.0,Ethanolamine catabolic microcompartment shell protein,b2456,
ypfM,1.380102594808342,33.0,2584192.0,stress-induced small enterobacterial protein,b4606,
yffB,1.447734035362362,33.0,2584605.0,putative ArsC family reductase,b2471,
