,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
leuL,1.2964722495679275,1.0,80108.0,leu operon leader peptide,b0075,
ykfM,1.5624753013388648,2.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
yafN,1.3997717402211252,3.0,248491.0,antitoxin of the YafO-YafN toxin-antitoxin system,b0232,
ykfN,1.4178659974628667,4.0,258860.0,No_gene_product,b4626,
ykgS,1.8696469428614482,5.0,286208.0,No_gene_product,b4688,
yagM,1.4066081950274083,5.0,289655.0,CP4-6 prophage; uncharacterized protein,b0279,
ykgR,1.6413620054405658,6.0,308851.0,uncharacterized protein,b4671,
ykgP,1.4618229797221374,6.0,309426.0,No_gene_product,b4630,
rclB,1.3694650045473624,6.0,314041.0,reactive chlorine species (RCS) stress resistance periplasmic protein,b0303,
ybcM,1.4243799300698934,7.0,567296.0,DLP12 prophage; putative DNA-binding transcriptional regulator,b0546,
borD,1.4651695556805622,8.0,574055.0,DLP12 prophage; putative lipoprotein,b0557,
ybcV,1.3700337624068877,8.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
ybfB,1.5173146913012383,9.0,729231.0,putative membrane protein,b0702,
iraM,1.4737571476095792,10.0,1207296.0,"RpoS stabilzer during Mg starvation, anti-RssB factor",b1160,
ymgC,1.6190479776191167,11.0,1212416.0,"Blue light, low temperature and stress induced protein",b1167,
ldrA,1.6523474665855682,12.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.7135663702534605,12.0,1265693.0,"toxic polypeptide, small",b4423,
ralR,1.3852295248625315,13.0,1408000.0,Rac prophage; restriction alleviation protein,b1348,
ydaE,1.5416053215476182,13.0,1412096.0,"conserved protein, Rac prophage",b4526,
kilR,1.4283802280222568,13.0,1412264.0,"killing protein, Rac prophage; FtsZ inhibitor protein",b1352,
tfaR,1.665470829268398,14.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
pinR,1.5711473185558003,14.0,1427456.0,Rac prophage; putative site-specific recombinase,b1374,
ynaE,2.208102525400525,14.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ynbG,1.539262014230187,15.0,1459456.0,uncharacterized protein,b4674,
ydcD,1.3774292660617573,16.0,1524178.0,putative immunity protein for RhsE,b1457,
ydfK,2.179652785552741,17.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
pinQ,1.5884553481732306,17.0,1628160.0,Qin prophage; putative site-specific recombinase,b1545,
tfaQ,1.6698247599171923,17.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
ydfO,1.3542798718682385,17.0,1631303.0,Qin prophage; uncharacterized protein,b1549,
gnsB,1.450298393718926,17.0,1631865.0,Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts),b1550,
wbbK,1.7137580389420266,18.0,2097152.0,lipopolysaccharide biosynthesis protein,b2032,frozenset({<Reaction O16GLCT1 at 0x7fcfa67311d0>})
wbbI,1.7512573337034818,18.0,2099200.0,"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase",b2034,frozenset({<Reaction O16GALFT at 0x7fcfa6731048>})
wbbH,1.8121924244845358,18.0,2099540.0,O-antigen polymerase,b2035,"frozenset({<Reaction O16AP3pp at 0x7fcfa6724a90>, <Reaction O16AP1pp at 0x7fcfa6724a58>, <Reaction O16AP2pp at 0x7fcfa6724860>})"
glf,1.6445536056613328,18.0,2101248.0,"UDP-galactopyranose mutase, FAD/NAD(P)-binding",b2036,frozenset({<Reaction UDPGALM at 0x7fcfa657f160>})
wzxB,1.6025509494309536,18.0,2101817.0,putative polisoprenol-linked O-antigen transporter,b2037,frozenset({<Reaction O16AUNDtpp at 0x7fcfa6724fd0>})
rfbC,1.6957704412673174,18.0,2103296.0,"dTDP-4-deoxyrhamnose-3,5-epimerase",b2038,frozenset({<Reaction TDPDRE at 0x7fcfa65a1160>})
ibsA,1.4611474607851125,19.0,2146829.0,toxic membrane protein,b4667,
ibsB,1.4647206004256919,19.0,2147200.0,toxic membrane protein,b4668,
yegZ,1.428508478905333,20.0,2161152.0,No_gene_product,b2083,
yegR,1.5748831821915792,20.0,2161664.0,uncharacterized protein,b2085,
gatB,1.3789119186093826,21.0,2167808.0,galactitol-specific enzyme IIB component of PTS,b2093,frozenset({<Reaction GALTptspp at 0x7fcfa696c048>})
gatA,1.3733613144192718,21.0,2168075.0,galactitol-specific enzyme IIA component of PTS,b2094,frozenset({<Reaction GALTptspp at 0x7fcfa696c048>})
yehA,1.6046364941257958,22.0,2181120.0,putative fimbrial-like adhesin protein,b2108,
yehC,1.4159510219047824,22.0,2184404.0,putative periplasmic pilin chaperone,b2110,
yehD,1.4869160823358816,22.0,2185216.0,putative fimbrial-like adhesin protein,b2111,
yehE,1.6758978054140334,22.0,2186240.0,DUF2574 family protein,b2112,
yehK,1.4960195327039887,22.0,2197504.0,uncharacterized protein,b4541,
yohP,1.4703393434639171,23.0,2222464.0,uncharacterized protein,b4679,
yeiS,1.5762178897139676,24.0,2227200.0,DUF2542 family protein,b2145,
yfaE,1.3649456168711378,25.0,2341992.0,ferredoxin involved with ribonucleotide reductase diferric-tyrosyl radical (Y*) cofactor maintenance,b2236,
yfaH,1.3894423765809012,25.0,2343129.0,No_gene_product,b2238,
glpQ,1.4511191093230653,25.0,2343413.0,periplasmic glycerophosphodiester phosphodiesterase,b2239,"frozenset({<Reaction GPDDA5pp at 0x7fcfa68e0208>, <Reaction GPDDA1pp at 0x7fcfa6954c18>, <Reaction GPDDA2pp at 0x7fcfa69543c8>, <Reaction GPDDA4pp at 0x7fcfa6954fd0>, <Reaction GPDDA3pp at 0x7fcfa69547f0>})"
elaD,1.5113147743186808,26.0,2376191.0,"protease, capable of cleaving an AMC-ubiquitin model substrate",b2269,
yfbM,1.3977210577337276,26.0,2380412.0,DUF1877 family protein,b2272,
yfbN,1.4766094957014109,26.0,2381824.0,uncharacterized protein,b2273,
yfbO,1.5385662427911815,26.0,2382113.0,uncharacterized protein,b2274,
yfbP,1.4044647383891244,26.0,2382594.0,TPR-like repeats-containing protein,b2275,
