,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
icdC,1.348787185949453,1.0,1206868.0,No_gene_product,b4519,
ldrA,1.5225559039026317,2.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.6134163828969619,2.0,1265693.0,"toxic polypeptide, small",b4423,
tfaR,1.7390727823552175,3.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,1.7307833296385493,3.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ynbG,1.4082594994730144,4.0,1459456.0,uncharacterized protein,b4674,
ydfK,1.7367670658277625,5.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.7210118513522907,5.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
gatB,1.4049448186423192,6.0,2167808.0,galactitol-specific enzyme IIB component of PTS,b2093,frozenset({<Reaction GALTptspp at 0x7fcfa696c048>})
thiD,1.3537479401064294,7.0,2177194.0,hydroxy-methylpyrimidine kinase and hydroxy-phosphomethylpyrimidine kinase,b2103,"frozenset({<Reaction HMPK1 at 0x7fcfa689c630>, <Reaction PMPK at 0x7fcfa66b8d30>})"
rcnR,1.4184633849054729,7.0,2179072.0,transcriptional repressor of rcnA,b2105,
rcnA,1.3937841627852041,7.0,2179395.0,membrane protein conferring nickel and cobalt resistance,b2106,
yehA,1.4546993751376904,7.0,2181120.0,putative fimbrial-like adhesin protein,b2108,
yehC,1.4619108200455668,7.0,2184404.0,putative periplasmic pilin chaperone,b2110,
yehD,1.3998106709236733,7.0,2185216.0,putative fimbrial-like adhesin protein,b2111,
yehE,1.5416006761205823,7.0,2186240.0,DUF2574 family protein,b2112,
yehK,1.5000469911862986,7.0,2197504.0,uncharacterized protein,b4541,
yohO,1.4404814617921873,8.0,2209135.0,putative membrane protein,b4542,
yohP,1.4911159740080302,9.0,2222464.0,uncharacterized protein,b4679,
dusC,1.4591155094531483,9.0,2222916.0,tRNA-dihydrouridine synthase C,b2140,
cdd,1.4000112107070246,9.0,2226176.0,cytidine/deoxycytidine deaminase,b2143,"frozenset({<Reaction CYTD at 0x7fcfa6aa74a8>, <Reaction DCYTD at 0x7fcfa6ace0f0>})"
yeiS,1.4267130991143908,9.0,2227200.0,DUF2542 family protein,b2145,
yeiG,1.4755426569732006,10.0,2237388.0,S-formylglutathione hydrolase,b2154,frozenset({<Reaction SFGTHi at 0x7fcfa65de9e8>})
yejG,1.4153886149887078,11.0,2271371.0,uncharacterized protein,b2181,
rplY,1.391951860375007,11.0,2275995.0,50S ribosomal subunit protein L25,b2185,
narP,1.3804971164812683,11.0,2283978.0,response regulator in two-component regulatory system with NarQ,b2193,
eco,1.402040085391646,12.0,2297856.0,"ecotin, a serine protease inhibitor",b2209,
yojI,1.3881860067202716,12.0,2301952.0,microcin J25 efflux ABC transporter permease/ATPase,b2211,
ada,1.342693565465018,12.0,2302819.0,fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase,b2213,
apbE,1.361599507030627,12.0,2304000.0,putative thiamine-synthetic flavin transferase lipoprotein,b2214,
inaA,1.401029716989306,13.0,2342912.0,acid-inducible Kdo/WaaP family putative kinase,b2237,
yfaH,1.377955356488437,13.0,2343129.0,No_gene_product,b2238,
ypaA,1.3820899168998328,14.0,2351294.0,No_gene_product,b4543,
ais,1.476092577432953,15.0,2358496.0,putative LPS core heptose(II)-phosphate phosphatase,b2252,
rbn,1.421056378810741,16.0,2375680.0,"RNase BN, tRNA processing enzyme",b2268,
elaD,1.4961776369239044,16.0,2376191.0,"protease, capable of cleaving an AMC-ubiquitin model substrate",b2269,
yfbM,1.549687002119857,16.0,2380412.0,DUF1877 family protein,b2272,
yfbN,1.4228699364862087,16.0,2381824.0,uncharacterized protein,b2273,
yfbO,1.6793960091277402,16.0,2382113.0,uncharacterized protein,b2274,
yfbP,1.4064504293319966,16.0,2382594.0,TPR-like repeats-containing protein,b2275,
nuoJ,1.3249459455268573,16.0,2388820.0,"NADH:ubiquinone oxidoreductase, membrane subunit J",b2280,"frozenset({<Reaction NADH16pp at 0x7fcfa67c6208>, <Reaction NADH18pp at 0x7fcfa67c6390>, <Reaction NADH17pp at 0x7fcfa67c62b0>})"
nuoB,1.4425022211858542,17.0,2397429.0,"NADH:ubiquinone oxidoreductase, chain B",b2287,"frozenset({<Reaction NADH16pp at 0x7fcfa67c6208>, <Reaction NADH18pp at 0x7fcfa67c6390>, <Reaction NADH17pp at 0x7fcfa67c62b0>})"
lrhA,1.4611960516744318,17.0,2399181.0,"transcriptional repressor of flagellar, motility and chemotaxis genes",b2289,
yfbV,1.4192522988593324,18.0,2406400.0,UPF0208 family inner membrane protein,b2295,
yfcD,1.3763899214779076,18.0,2412544.0,putative NUDIX hydrolase,b2299,
argT,1.4332693743248428,19.0,2420736.0,lysine/arginine/ornithine transporter subunit,b2310,"frozenset({<Reaction LYSabcpp at 0x7fcfa682e898>, <Reaction ARGabcpp at 0x7fcfa6b70a58>, <Reaction ORNabcpp at 0x7fcfa67490f0>})"
cvpA,1.3867765977031956,19.0,2423753.0,colicin V production protein,b2313,
accD,1.3520477697948137,19.0,2426880.0,"acetyl-CoA carboxylase, beta (carboxyltransferase) subunit",b2316,frozenset({<Reaction ACCOAC at 0x7fcfa6c4d6a0>})
smrB,1.4375512299788447,20.0,2442084.0,putative DNA endonuclease,b2331,
yfcO,1.4561389709977588,20.0,2443264.0,DUF2544 family putative outer membrane protein,b2332,
yfcQ,1.4647505386852786,20.0,2444065.0,putative fimbrial-like adhesin protein,b2334,
yfcS,1.4567319161744512,20.0,2445312.0,putative periplasmic pilin chaperone,b2336,
sixA,1.4659823981137092,20.0,2449805.0,phosphohistidine phosphatase,b2340,
yfdF,1.48167803714037,20.0,2456490.0,uncharacterized protein,b2345,
gtrB,1.4538821399598871,20.0,2461696.0,CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase,b2351,
gtrS,1.769963636656348,20.0,2463744.0,"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage",b2352,
yfdK,1.3811177660919063,20.0,2464555.0,CPS-53 (KpLE1) prophage; conserved protein,b2354,
yfdQ,1.4406887421302017,21.0,2467840.0,CPS-53 (KpLE1) prophage; uncharacterized protein,b2360,
yfdR,1.4595404217583217,21.0,2468462.0,CPS-53 (KpLE1) prophage; conserved protein,b2361,
