,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
ykfI,1.3917322795040092,1.0,259038.0,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system,b0245,
yegZ,1.358932872684686,2.0,2161152.0,No_gene_product,b2083,
nuoK,1.3735918333599997,3.0,2388521.0,"NADH:ubiquinone oxidoreductase, membrane subunit K",b2279,"['NADH18pp', 'NADH16pp', 'NADH17pp']"
alaA,1.6271441235874062,4.0,2401039.0,glutamate-pyruvate aminotransferase; glutamic-pyruvic transaminase (GPT); alanine transaminase,b2290,['ALATA_L']
yfbS,1.5276708784110695,4.0,2402998.0,putative transporter,b2292,
yfbU,1.5067145940297204,4.0,2405578.0,UPF0304 family protein,b2294,
yfbV,1.6112310497914868,4.0,2406400.0,UPF0208 family inner membrane protein,b2295,
ackA,1.5912955395251744,4.0,2406948.0,acetate kinase A and propionate kinase 2,b2296,['ACKr']
pta,1.56996007008411,4.0,2408448.0,phosphate acetyltransferase,b2297,"['PTAr', 'PTA2']"
yfcF,1.737283250034036,4.0,2413319.0,glutathione S-transferase,b2301,
yfcG,1.5309274811708482,4.0,2414592.0,GSH-dependent disulfide bond oxidoreductase,b2302,
folX,1.945840605292985,4.0,2414803.0,"D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase",b2303,['DHPTPE']
yfcI,1.7343104338346567,4.0,2416640.0,transposase_31 family protein,b2305,
hisP,1.547518504845749,4.0,2417214.0,histidine ABC transporter ATPase,b2306,"['HISabcpp', 'ARGabcpp', 'ORNabcpp', 'LYSabcpp']"
hisM,1.4108666385890143,4.0,2418688.0,histidine ABC transporter permease,b2307,"['HISabcpp', 'ARGabcpp', 'ORNabcpp', 'LYSabcpp']"
hisJ,1.5664666435738248,4.0,2419484.0,histidine ABC transporter periplasmic binding protein,b2309,['HISabcpp']
argT,1.549647100362969,4.0,2420736.0,lysine/arginine/ornithine transporter subunit,b2310,"['ARGabcpp', 'ORNabcpp', 'LYSabcpp']"
ubiX,1.5288084686290542,4.0,2421535.0,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,b2311,['OPHBDC']
purF,1.510091837404881,4.0,2422199.0,amidophosphoribosyltransferase,b2312,['GLUPRT']
dedD,1.6597825418787546,4.0,2424832.0,membrane-anchored periplasmic protein involved in septation,b2314,
folC,1.5378369403210073,4.0,2425152.0,bifunctional folylpolyglutamate synthase/ dihydrofolate synthase,b2315,['DHFS']
dedA,1.5934272512232555,4.0,2427560.0,DedA family inner membrane protein,b2317,
truA,1.5220055602320763,4.0,2428928.0,tRNA pseudouridine(38-40) synthase,b2318,
usg,1.6331242384588867,4.0,2429114.0,putative semialdehyde dehydrogenase,b2319,
pdxB,1.5505532523503982,4.0,2430976.0,erythronate-4-phosphate dehydrogenase,b2320,['PERD']
flk,1.6972837748262735,4.0,2431428.0,putative flagella assembly protein,b2321,
mnmC,1.5277237229819405,4.0,2435242.0,fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase and FAD-dependent demodification enzyme,b2324,
yfcL,1.427623396307168,4.0,2437632.0,uncharacterized protein,b2325,
prmB,1.5427679788799977,4.0,2441216.0,N5-glutamine methyltransferase,b2330,
yfcQ,1.9813741063359231,4.0,2444065.0,putative fimbrial-like adhesin protein,b2334,
yfcR,1.4819074365848544,4.0,2444550.0,putative fimbrial-like adhesin protein,b2335,
yfcS,1.6813446068002722,4.0,2445312.0,putative periplasmic pilin chaperone,b2336,
yfcU,1.5326243309833538,4.0,2445834.0,No_gene_product,b4661,
sixA,1.8013969816262299,4.0,2449805.0,phosphohistidine phosphatase,b2340,
fadJ,1.455256748405134,4.0,2450493.0,enoyl-CoA hydratase/epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase,b2341,"['HACD4', 'ECOAH4', 'HACD8', 'ECOAH5', 'ECOAH1', 'HACD5', 'HACD6', 'HACD2', 'ECOAH2', 'ECOAH6', 'HACD7', 'ECOAH3', 'HACD1', 'ECOAH7', 'HACD3', 'ECOAH8']"
fadI,1.5739569390596555,4.0,2453504.0,"beta-ketoacyl-CoA thiolase, anaerobic, subunit",b2342,"['ACACT8r', 'ACACT4r', 'ACACT7r', 'ACACT2r', 'ACACT5r', 'ACACT3r', 'ACACT1r', 'ACACT6r']"
yfcZ,1.3201045974906065,4.0,2454128.0,UPF0381 family protein,b2343,
mlaA,1.5547227653961455,4.0,2457730.0,"ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component",b2346,
intS,1.731442670405789,4.0,2460023.0,CPS-53 (KpLE1) prophage; putative prophage CPS-53 integrase,b2349,
gtrA,2.034431722281934,4.0,2461333.0,CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase/flippase,b2350,
gtrB,1.7000154857538161,4.0,2461696.0,CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase,b2351,
tfaS,1.5189063708539412,4.0,2464293.0,No_gene_product,b2353,
yfdK,1.582232470741096,4.0,2464555.0,CPS-53 (KpLE1) prophage; conserved protein,b2354,
yfdM,1.590251954971037,4.0,2465792.0,No_gene_product,b2356,
yfdN,1.7150209029709313,4.0,2465865.0,CPS-53 (KpLE1) prophage; uncharacterized protein,b2357,
yfdP,1.5923901726712022,4.0,2467082.0,CPS-53 (KpLE1) prophage; uncharacterized protein,b2359,
yfdQ,1.4614440645122988,4.0,2467840.0,CPS-53 (KpLE1) prophage; uncharacterized protein,b2360,
yfdR,1.6270351363563238,4.0,2468462.0,CPS-53 (KpLE1) prophage; conserved protein,b2361,
yfdS,1.7395498614472897,4.0,2468989.0,CPS-53 (KpLE1) prophage; uncharacterized protein,b2362,
yfdT,1.7027630411831345,4.0,2469376.0,CPS-53 (KpLE1) prophage; uncharacterized protein,b2363,
ypdJ,1.7355421680596943,4.0,2469659.0,No_gene_product,b4545,
torI,1.5779618468303938,4.0,2469888.0,response regulator inhibitor for tor operon,b4501,
dsdC,1.5398410283512285,4.0,2470172.0,dsd operon activator; autorepressor,b2364,
dsdX,1.6164554082426201,4.0,2471936.0,D-serine transporter,b2365,
dsdA,1.6592621975872792,4.0,2473984.0,D-serine dehydratase,b2366,['SERD_D']
emrY,1.552455504303827,4.0,2474116.0,putative multidrug efflux system,b2367,
