,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
yadC,1.409677967424503,1.0,146201.0,putative fimbrial-like adhesin protein,b0135,
ykfN,1.534664754850092,2.0,258860.0,No_gene_product,b4626,
yagL,1.5267969231423255,3.0,288930.0,CP4-6 prophage; DNA-binding protein,b0278,
ykgP,1.536382768247887,4.0,309426.0,No_gene_product,b4630,
ykgQ,1.3174143301780903,4.0,313149.0,No_gene_product,b4631,
ylcG,1.4690542606315407,5.0,569185.0,"uncharacterized protein, DLP12 prophage",b4509,
ylcI,1.4697008837955092,6.0,575706.0,"DUF3950 family protein, DLP12 prophage",b4589,
ymdE,1.4024044050500326,7.0,1090960.0,No_gene_product,b1028,
xisE,1.3785048245339133,8.0,1196242.0,e14 prophage; putative excisionase,b1141,
ymiB,1.4160936662481671,9.0,1341052.0,uncharacterized protein,b4672,
ydaE,1.4154266204940618,10.0,1412096.0,"conserved protein, Rac prophage",b4526,
tfaQ,1.788850645910654,11.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
yfbO,1.5111267129019257,12.0,2382113.0,uncharacterized protein,b2274,
yfdR,1.4770981679967814,13.0,2468462.0,CPS-53 (KpLE1) prophage; conserved protein,b2361,
yffM,1.3554239568146347,14.0,2554880.0,CPZ-55 prophage; uncharacterized protein,b2444,
pheL,1.4006209841102377,15.0,2730957.0,pheA gene leader peptide,b2598,
rplS,1.3634898247040335,16.0,2737541.0,50S ribosomal subunit protein L19,b2606,
alpA,1.3739902393162868,17.0,2752002.0,CP4-57 prophage; DNA-binding transcriptional activator,b2624,
yfjJ,1.434443488538367,17.0,2753905.0,CP4-57 prophage; uncharacterized protein,b2626,
yfjU,1.5268616274599136,18.0,2765360.0,No_gene_product,b2638,
yfjW,1.4267206759288253,18.0,2766676.0,CP4-57 prophage; putative inner membrane protein,b2642,
ypjC,1.398398214342178,19.0,2777088.0,No_gene_product,b2650,
yqcG,1.6057163239385348,20.0,2898944.0,membrane stress resistance protein,b4682,
yqeH,1.4082050335226841,21.0,2980894.0,putative LuxR family transcriptional regulator,b2846,
yqeJ,1.5141416582377998,21.0,2982662.0,uncharacterized protein,b2848,
yqeL,1.3605476957365765,21.0,2983177.0,uncharacterized protein,b4683,
yqeK,1.4666225387051381,21.0,2983293.0,uncharacterized protein,b2849,
ygeG,1.6654288613691952,21.0,2984626.0,SycD-like chaperone family TPR-repeat-containing protein,b2851,
yqfG,1.3224478539913025,22.0,3026175.0,uncharacterized protein,b4684,
ibsC,1.32661614879251,23.0,3050248.0,toxic membrane protein,b4665,
yqgC,1.3908046029131365,24.0,3079680.0,uncharacterized protein,b2940,
yrbN,1.4512362718169087,25.0,3301248.0,uncharacterized protein,b4685,
fis,1.3484996964988512,26.0,3404800.0,global DNA-binding transcriptional dual regulator,b3261,
rpsL,1.3933077390456727,27.0,3467536.0,30S ribosomal subunit protein S12,b3342,
yhhH,2.2307726270412394,28.0,3616768.0,putative NTF2 fold immunity protein for polymorphic toxin RhsB,b3483,
yrhC,1.7541212876184635,28.0,3617246.0,No_gene_product,b4552,
yhhI,2.2139009216683156,28.0,3618816.0,putative transposase,b3484,
yhhJ,1.7802404063463313,28.0,3619038.0,putative ABC transporter permease,b3485,
rbbA,1.6059089471982606,28.0,3620864.0,ribosome-associated ATPase: ATP-binding protein/ATP-binding membrane protein,b3486,
yhiI,1.6527461352676205,28.0,3622912.0,putative membrane fusion protein (MFP) of efflux pump,b3487,
yhiJ,2.211203656434297,28.0,3624327.0,DUF4049 family protein,b3488,
yhiL,2.1837321338727755,28.0,3626211.0,No_gene_product,b4660,
yhiM,1.8226516553105316,28.0,3629056.0,"acid resistance protein, inner membrane",b3491,
yhiN,1.6910228672101522,28.0,3629567.0,putative oxidoreductase,b3492,
pitA,1.8601606997625162,28.0,3631001.0,"phosphate transporter, low-affinity; tellurite importer",b3493,['PIt2rpp']
uspB,1.874465273610715,28.0,3632744.0,universal stress (ethanol tolerance) protein B,b3494,
uspA,1.9296679867503828,28.0,3633470.0,universal stress global response regulator,b3495,
dtpB,2.004438821157257,28.0,3634221.0,dipeptide and tripeptide permease B,b3496,"['LALALGLUtpp', 'LALADGLUtpp']"
rsmJ,1.4583062350059568,28.0,3635739.0,"16S rRNA m(2)G1516 methyltransferase, SAM-dependent",b3497,
prlC,1.6390123252947817,28.0,3637248.0,oligopeptidase A,b3498,
