,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
yadK,1.4415603607135623,1.0,147489.0,putative fimbrial-like adhesin protein,b0136,
ykfN,1.3821674422515409,2.0,258860.0,No_gene_product,b4626,
yagE,1.3954477357429838,3.0,278528.0,2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage,b0268,
ykgR,1.476915843018042,4.0,308851.0,uncharacterized protein,b4671,
rclB,1.3780785191624991,5.0,314041.0,reactive chlorine species (RCS) stress resistance periplasmic protein,b0303,
cyoC,1.4369678765186045,6.0,443501.0,cytochrome o ubiquinol oxidase subunit III,b0430,['CYTBO3_4pp']
sfmA,1.4303983779538008,7.0,553667.0,"FimA homolog, function unknown",b0530,
ylcH,1.4840264545533879,8.0,567823.0,"uncharacterized protein, DLP12 prophage",b4588,
lptE,1.4396911376324768,9.0,667060.0,"LPS assembly OM complex LptDE, lipoprotein component",b0641,
ybfK,1.5147807411073124,10.0,716288.0,uncharacterized protein,b4590,
ybfB,1.3561045192364456,11.0,729231.0,putative membrane protein,b0702,
cydX,1.4147622003922622,12.0,769651.0,cytochrome d (bd-I) ubiquinol oxidase subunit X,b4515,
hspQ,1.302270489995443,13.0,1024000.0,heat shock protein involved in degradation of mutant DnaA; hemimethylated oriC DNA-binding protein,b0966,
yceD,1.4156110574257215,14.0,1142249.0,DUF177 family protein,b1088,
rpmF,1.5350747799640057,14.0,1142822.0,50S ribosomal subunit protein L32,b1089,
ymfL,1.4215616136864837,15.0,1198723.0,e14 prophage; putative DNA-binding transcriptional regulator,b1147,
iraM,1.7968339779164137,16.0,1207296.0,"RpoS stabilzer during Mg starvation, anti-RssB factor",b1160,
ariR,1.4094457112234138,17.0,1211904.0,RcsB connector protein for regulation of biofilm and acid-resistance,b1166,
ymgC,1.5818683348954061,17.0,1212416.0,"Blue light, low temperature and stress induced protein",b1167,
ymgI,1.6793302898477493,18.0,1218560.0,uncharacterized protein,b4593,
ldrA,1.4684729600403434,19.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.4198837812154792,19.0,1265693.0,"toxic polypeptide, small",b4423,
trpL,1.2912870548188329,20.0,1317294.0,trp operon leader peptide,b1265,
ymiB,1.4232058288269662,21.0,1341052.0,uncharacterized protein,b4672,
tpx,1.368042389751065,22.0,1382561.0,lipid hydroperoxide peroxidase,b1324,
rcbA,1.4166369781705037,23.0,1407787.0,,,
ralR,1.4607748620818493,23.0,1408000.0,Rac prophage; restriction alleviation protein,b1348,
kilR,1.34633984358889,23.0,1412264.0,"killing protein, Rac prophage; FtsZ inhibitor protein",b1352,
ydaS,1.4750808010630894,23.0,1414656.0,Rac prophage; putative DNA-binding transcriptional regulator,b1357,
tfaR,1.8241187550501143,24.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,1.7905978432982828,24.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ynbG,1.471465641662964,25.0,1459456.0,uncharacterized protein,b4674,
ydcX,1.3311555181170143,26.0,1511645.0,DUF2566 family protein,b1445,
yncH,1.4332722800870656,27.0,1521196.0,IPR020099 family protein,b1455,
safA,1.5975173916077337,28.0,1578018.0,"two-component system connector membrane protein, EvgSA to PhoQP",b1500,
ydfK,1.7584481552453082,29.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.7815785339549715,29.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
ynfN,1.3053441868540938,30.0,1632256.0,Qin prophage; cold shock-induced protein,b1551,
cspB,1.6166107003600518,31.0,1635595.0,Qin prophage; cold shock protein,b1557,
dicA,1.4340778941114722,32.0,1642496.0,Qin prophage; putative regulator for DicB,b1570,
ydfD,1.3871618003537483,32.0,1644050.0,Qin prophage; uncharacterized protein,b1576,
lpp,1.377478467556141,33.0,1751677.0,murein lipoprotein,b1677,"['ALPATG160pp', 'ALPATE160pp']"
pheM,1.3728220670908002,34.0,1793482.0,phenylalanyl-tRNA synthetase operon leader peptide,b1715,
yoaK,1.3209936096776116,35.0,1873029.0,inner membrane-associated protein,b4676,
yobF,1.3459795085448691,36.0,1901704.0,DUF2527 family heat-induced protein,b1824,
ftnA,1.490629765194882,37.0,1982464.0,ferritin iron storage protein (cytoplasmic),b1905,
yoeH,1.7788156253454237,38.0,2061824.0,No_gene_product,b4641,
yeeT,1.3943204565616303,39.0,2070297.0,CP4-44 prophage; uncharacterized protein,b2003,
hisL,1.5406324993249658,40.0,2083476.0,his operon leader peptide,b2018,
yegR,1.3717666555673151,41.0,2161664.0,uncharacterized protein,b2085,
rcnB,1.4954937499914418,42.0,2180608.0,periplasmic modulator of Ni and Co efflux,b2107,
gtrS,1.6874890483770442,43.0,2463744.0,"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage",b2352,
ypdK,1.418764518288619,44.0,2490399.0,inner membrane protein,b4680,
ypeB,1.3308856933051707,45.0,2521299.0,DUF3820 family protein,b4546,
ypfM,1.301952972121852,46.0,2584192.0,stress-induced small enterobacterial protein,b4606,
shoB,1.291146598294678,47.0,2693504.0,toxic membrane protein,b4687,
grcA,1.5043757873817174,48.0,2709504.0,autonomous glycyl radical cofactor,b2579,"['PFL', 'OBTFL']"
raiA,1.417090821713779,49.0,2730512.0,cold shock protein associated with 30S ribosomal subunit,b2597,
pheL,1.5033017887643993,49.0,2730957.0,pheA gene leader peptide,b2598,
rplS,1.3774153586802997,50.0,2737541.0,50S ribosomal subunit protein L19,b2606,
ratB,1.4388847796233137,51.0,2747392.0,UPF0125 family protein,b2618,
