,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
ylcI,1.3936546560165362,1.0,575706.0,"DUF3950 family protein, DLP12 prophage",b4589,
croE,1.4352604036600791,2.0,1198592.0,e14 prophage; putative DNA-binding transcriptional regulator,b1146,
ldrA,1.5363823404792962,3.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.4797420905264458,3.0,1265693.0,"toxic polypeptide, small",b4423,
rcbA,1.3750296510374747,4.0,1407787.0,,,
tfaR,1.7624376237732617,5.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,1.743734491363324,5.0,1428480.0,"cold shock protein, Rac prophage",b1375,
yncL,1.3668350428182365,6.0,1511424.0,stress-induced small inner membrane enterobacterial protein,b4598,
ydcX,1.3244160242480152,6.0,1511645.0,DUF2566 family protein,b1445,
tfaQ,1.6848062482197534,7.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
yegZ,1.3342026846036426,8.0,2161152.0,No_gene_product,b2083,
torI,1.4739879539312688,9.0,2469888.0,response regulator inhibitor for tor operon,b4501,
ypdI,1.5664533609033802,10.0,2488320.0,putative lipoprotein involved in colanic acid biosynthesis,b2376,
yfdY,1.4952472725037707,10.0,2488528.0,DUF2545 family putative inner membrane protein,b2377,
pheL,1.4239732290344087,11.0,2730957.0,pheA gene leader peptide,b2598,
yfjH,1.3477854686565474,12.0,2751002.0,CP4-57 prophage; uncharacterized protein,b2623,
yfjU,1.4481158152134064,13.0,2765360.0,No_gene_product,b2638,
hycA,1.3643033279209575,14.0,2843332.0,regulator of the transcriptional regulator FhlA,b2725,
ygbF,1.3860344168450534,15.0,2871927.0,CRISPR adaptation ssRNA endonuclease,b2754,
mazF,1.4673070215218837,16.0,2904114.0,"mRNA interferase toxin, antitoxin is MazE",b2782,
ygdI,1.3557494091663886,17.0,2936320.0,DUF903 family verified lipoprotein,b2809,
yqeJ,1.4715222762168594,18.0,2982662.0,uncharacterized protein,b2848,
ygeH,1.3520238798484498,18.0,2985452.0,putative transcriptional regulator,b2852,
ygeI,1.5133101567712708,18.0,2987008.0,uncharacterized protein,b2853,
yqfG,1.3196733653064754,19.0,3026175.0,uncharacterized protein,b4684,
higB,1.338153914050903,20.0,3227648.0,mRNA interferase toxin of the HigB-HigA toxin-antitoxin system,b3083,
yidD,1.2934647134134298,21.0,3878400.0,"membrane protein insertion efficiency factor, UPF0161 family inner membrane protein",b4557,
ilvX,1.3033042336920657,22.0,3943866.0,uncharacterized protein,b4669,
yiiF,1.355600782192333,23.0,4073110.0,"putative thymol sensitivity protein, CopG family putative transcriptional regulator",b3890,
sgcB,1.3266467676301381,24.0,4520071.0,putative enzyme IIB component of PTS,b4565,
