,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
thrL,1.3404901144568668,0.0,189.0,thr operon leader peptide,b0001,
panD,1.3856108206816562,1.0,142800.0,aspartate 1-decarboxylase,b0131,['ASP1DC']
yagE,1.3828783563589413,2.0,278528.0,2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage,b0268,
ykgS,1.5624836920680532,3.0,286208.0,No_gene_product,b4688,
yagM,1.3899951109600717,3.0,289655.0,CP4-6 prophage; uncharacterized protein,b0279,
ykgP,1.4005395395524518,4.0,309426.0,No_gene_product,b4630,
ninE,1.3216613101133405,5.0,568376.0,DLP12 prophage; conserved protein,b0548,
ybcV,1.3476851288947072,6.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
cspE,1.355828210536706,7.0,652800.0,constitutive cold shock family transcription antitermination protein; negative regulator of cspA transcription; RNA melting protein; ssDNA-binding protein,b0623,
ybfK,1.3196562707511779,8.0,716288.0,uncharacterized protein,b4590,
ybfB,1.4864376591012904,9.0,729231.0,putative membrane protein,b0702,
mntS,1.4050320480995326,10.0,848384.0,"Mn(2)-response protein, MntR-repressed",b4705,
rpmF,1.5324763700975335,11.0,1142822.0,50S ribosomal subunit protein L32,b1089,
xisE,1.5496026344184075,12.0,1196242.0,e14 prophage; putative excisionase,b1141,
ymfI,1.3544589107117235,12.0,1196952.0,e14 prophage; uncharacterized protein,b1143,
ymfJ,1.3847186775550668,12.0,1197231.0,e14 prophage; uncharacterized protein,b1144,
icdC,1.4030321571979287,13.0,1206868.0,No_gene_product,b4519,
ymgC,1.4914600205365718,14.0,1212416.0,"Blue light, low temperature and stress induced protein",b1167,
ymgI,1.481549613030458,15.0,1218560.0,uncharacterized protein,b4593,
ymgJ,1.4189828999534617,15.0,1218719.0,uncharacterized protein,b4594,
ldrA,1.5185494062055087,16.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.5112792714062004,16.0,1265693.0,"toxic polypeptide, small",b4423,
trpL,1.3721860138351496,17.0,1317294.0,trp operon leader peptide,b1265,
rcbA,1.3512213189955118,18.0,1407787.0,,,
ynaE,1.6838950406452706,19.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ynbG,1.460518151646745,20.0,1459456.0,uncharacterized protein,b4674,
yncH,1.372607301324526,21.0,1521196.0,IPR020099 family protein,b1455,
yddM,1.464429265518102,22.0,1546752.0,putative DNA-binding transcriptional regulator,b1477,
ydfO,1.448219949166893,23.0,1631303.0,Qin prophage; uncharacterized protein,b1549,
gnsB,1.4104777780096343,23.0,1631865.0,Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts),b1550,
hokD,1.339901821830749,24.0,1639424.0,Qin prophage; small toxic polypeptide,b1562,
relB,1.424005197855576,24.0,1639936.0,antitoxin of the RelE-RelB toxin-antitoxin syste; transcriptional repressor,b1564,
lpp,1.3855917217101128,25.0,1751677.0,murein lipoprotein,b1677,"['ALPATG160pp', 'ALPATE160pp']"
ydiE,1.4054566173296623,26.0,1783869.0,hemin uptake protein HemP homolog,b1705,
pheM,1.3291883594506695,27.0,1793482.0,phenylalanyl-tRNA synthetase operon leader peptide,b1715,
yoaK,1.4277317320485656,28.0,1873029.0,inner membrane-associated protein,b4676,
yobF,1.6068620704417487,29.0,1901704.0,DUF2527 family heat-induced protein,b1824,
nudB,1.385383681434878,30.0,1942436.0,dihydroneopterin triphosphate pyrophosphatase,b1865,"['DNTPPA', 'NTPP5']"
yoeH,1.3721154680527305,31.0,2061824.0,No_gene_product,b4641,
yoeF,1.3023675925677838,32.0,2072226.0,No_gene_product,b4538,
ibsA,1.3560618934409696,33.0,2146829.0,toxic membrane protein,b4667,
ibsB,1.5403393121030595,33.0,2147200.0,toxic membrane protein,b4668,
shoB,1.3442825440816142,34.0,2693504.0,toxic membrane protein,b4687,
pheL,1.6319829826500725,35.0,2730957.0,pheA gene leader peptide,b2598,
bamE,1.7351570596574546,36.0,2746963.0,lipoprotein component of BamABCDE OM biogenesis complex,b2617,
