,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
ykfM,1.6245253936010164,1.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
ykgS,2.1041266526864786,2.0,286208.0,No_gene_product,b4688,
yagL,1.4130770972018276,2.0,288930.0,CP4-6 prophage; DNA-binding protein,b0278,
yagM,1.4273160892712835,2.0,289655.0,CP4-6 prophage; uncharacterized protein,b0279,
ecpR,1.4149560149485951,3.0,306456.0,putative transcriptional regulator for the ecp operon,b0294,
ykgR,1.621808598425213,3.0,308851.0,uncharacterized protein,b4671,
ykgP,1.4025225414333182,3.0,309426.0,No_gene_product,b4630,
ykgQ,1.7197762141512665,3.0,313149.0,No_gene_product,b4631,
rclB,1.5159627368428694,3.0,314041.0,reactive chlorine species (RCS) stress resistance periplasmic protein,b0303,
yahO,1.4906252245614386,4.0,342194.0,"periplasmic protein, function unknown, YhcN family",b0329,
hha,1.3541150082519042,5.0,475648.0,"modulator of gene expression, with H-NS",b0460,
ybbC,1.4542606249364198,6.0,523036.0,putative immunity protein,b0498,
rhsH,1.476552484948093,6.0,523407.0,No_gene_product,b0499,
ybcK,1.4412662483602796,7.0,565248.0,DLP12 prophage; putative recombinase,b0544,
ybcV,1.4297169340203133,8.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
appY,1.5989738693495141,9.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ybfB,1.667206519142012,10.0,729231.0,putative membrane protein,b0702,
ybfQ,1.3963310046015054,10.0,731900.0,No_gene_product,b4514,
mntS,1.3388144423585255,11.0,848384.0,"Mn(2)-response protein, MntR-repressed",b4705,
yccE,1.396859912465205,12.0,1059491.0,uncharacterized protein,b1001,
iraM,1.3675094729563209,13.0,1207296.0,"RpoS stabilzer during Mg starvation, anti-RssB factor",b1160,
ariR,1.4568882333999909,14.0,1211904.0,RcsB connector protein for regulation of biofilm and acid-resistance,b1166,
ymgC,1.7262915978089546,14.0,1212416.0,"Blue light, low temperature and stress induced protein",b1167,
ldrA,1.6226908641693683,15.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.5826534988705596,15.0,1265693.0,"toxic polypeptide, small",b4423,
rcbA,1.5116593348033396,16.0,1407787.0,,,
