,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
yaaX,1.430062665253792,0.0,5233.0,DUF2502 family putative periplasmic protein,b0005,
panD,1.3408549749409948,1.0,142800.0,aspartate 1-decarboxylase,b0131,['ASP1DC']
frr,1.3792355422738445,2.0,189358.0,ribosome recycling factor,b0172,
tilS,1.549657522608677,3.0,208896.0,tRNA(Ile)-lysidine synthetase,b0188,
rof,1.6367779252237495,3.0,210164.0,modulator of Rho-dependent transcription termination,b0189,
tsaA,1.5324197297151139,4.0,215373.0,"tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent",b0195,
ykfN,1.6444438176265366,5.0,258860.0,No_gene_product,b4626,
ykfI,1.4851205758965662,5.0,259038.0,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system,b0245,
afuC,1.400845534350938,6.0,274432.0,CP4-6 prophage; putative ferric transporter subunit,b0262,
yagE,1.6982603728351369,6.0,278528.0,2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage,b0268,
yagF,1.925500680756526,6.0,278911.0,CP4-6 prophage; dehydratase family protein,b0269,
yagH,1.595589356058376,6.0,282499.0,CP4-6 prophage; putative xylosidase/arabinosidase,b0271,
paoB,1.5653917761583944,7.0,296960.0,"PaoABC aldehyde oxidoreductase, FAD-containing subunit",b0285,
ecpA,1.69421396562946,8.0,305794.0,ECP pilin,b0293,
ykgR,1.4120223929042361,8.0,308851.0,uncharacterized protein,b4671,
betI,1.6176183206181212,9.0,324457.0,choline-inducible betIBA-betT divergent operon transcriptional repressor,b0313,
cyoC,1.594837007241897,10.0,443501.0,cytochrome o ubiquinol oxidase subunit III,b0430,['CYTBO3_4pp']
ybaB,1.5178705509944344,11.0,489531.0,"DNA-binding protein, putative nucleoid-associated protein",b0471,
recR,1.5572033160222474,11.0,489860.0,gap repair protein,b0472,
rnk,1.474302836971213,12.0,639012.0,regulator of nucleoside diphosphate kinase,b0610,
pal,1.4694315141787753,13.0,774522.0,peptidoglycan-associated outer membrane lipoprotein,b0741,
bioC,1.6628403894328156,14.0,806977.0,"malonyl-ACP O-methyltransferase, SAM-dependent",b0777,['MALCOAMT']
mntS,1.467664710697133,15.0,848384.0,"Mn(2)-response protein, MntR-repressed",b4705,
rutD,1.3648442005784862,16.0,1067008.0,putative reactive intermediate detoxifying aminoacrylate hydrolase,b1009,['3AMACHYD']
yceD,1.3589469037274167,17.0,1142249.0,DUF177 family protein,b1088,
rpmF,1.4459172967940839,17.0,1142822.0,50S ribosomal subunit protein L32,b1089,
ymfI,1.4618727674018033,18.0,1196952.0,e14 prophage; uncharacterized protein,b1143,
ymfJ,1.4594138580235698,18.0,1197231.0,e14 prophage; uncharacterized protein,b1144,
iraM,1.4677647094674446,19.0,1207296.0,"RpoS stabilzer during Mg starvation, anti-RssB factor",b1160,
ymgC,1.538559310445133,20.0,1212416.0,"Blue light, low temperature and stress induced protein",b1167,
ymgI,1.6717642222814928,21.0,1218560.0,uncharacterized protein,b4593,
ldrA,2.1729560377053643,22.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,2.0110407874034704,22.0,1265693.0,"toxic polypeptide, small",b4423,
yciN,1.4790653094198336,23.0,1324673.0,DUF2498 protein YciN,b1273,
osmB,1.6672785999211073,24.0,1337366.0,osmotically and stress inducible lipoprotein,b1283,
ynaE,1.5879123036263734,25.0,1428480.0,"cold shock protein, Rac prophage",b1375,
paaJ,1.5366877939817167,26.0,1456128.0,"3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase",b1397,"['OXDHCOAT', '3OXCOAT']"
ynbG,1.4182950983612217,26.0,1459456.0,uncharacterized protein,b4674,
ydcH,1.4547818346355457,27.0,1492992.0,DUF465 family protein,b1426,
narW,1.4974783155407507,28.0,1530870.0,"nitrate reductase 2 (NRZ), delta subunit (assembly subunit)",b1466,"['NO3R1pp', 'NO3R2pp']"
yddM,1.667942465660518,29.0,1546752.0,putative DNA-binding transcriptional regulator,b1477,
sra,1.3226882326083182,29.0,1550082.0,stationary-phase-induced ribosome-associated protein,b1480,
cspB,1.4328832418543307,30.0,1635595.0,Qin prophage; cold shock protein,b1557,
hokD,1.7342416713178463,30.0,1639424.0,Qin prophage; small toxic polypeptide,b1562,
relE,1.3984373292300094,30.0,1639602.0,Qin prophage; toxin of the RelE-RelB toxin-antitoxin system,b1563,
lpp,1.68132624741432,31.0,1751677.0,murein lipoprotein,b1677,"['ALPATG160pp', 'ALPATE160pp']"
rplT,1.5178601525553541,32.0,1793649.0,50S ribosomal subunit protein L20,b1716,
yoaJ,1.4248897884259653,33.0,1873152.0,inner membrane-associated protein,b4675,
yeaQ,1.3966556960702639,33.0,1873408.0,UPF0410 family protein,b1795,
yobD,1.5770775640264645,34.0,1899057.0,UPF0266 family inner membrane protein,b1820,
cspC,1.5440538205986984,34.0,1901568.0,"stress protein, member of the CspA-family",b1823,
nudB,1.6222515286232928,35.0,1942436.0,dihydroneopterin triphosphate pyrophosphatase,b1865,"['DNTPPA', 'NTPP5']"
yecH,1.401489921002528,36.0,1982731.0,DUF2492 family protein,b1906,
yodD,1.5797623340436755,37.0,2018466.0,uncharacterized protein,b1953,
yoeH,1.4085921775174937,38.0,2061824.0,No_gene_product,b4641,
yeeP,1.3867861325501543,38.0,2064384.0,No_gene_product,b1999,
yoeD,1.419810126752809,39.0,2072064.0,No_gene_product,b4642,
hisL,1.361155675614824,40.0,2083476.0,his operon leader peptide,b2018,
ibsA,1.5497157706779363,41.0,2146829.0,toxic membrane protein,b4667,
ibsB,1.6498218173473798,41.0,2147200.0,toxic membrane protein,b4668,
yeiS,1.3909809985069723,42.0,2227200.0,DUF2542 family protein,b2145,
rplY,1.4001782810519547,43.0,2275995.0,50S ribosomal subunit protein L25,b2185,
narP,1.5539489944839062,43.0,2283978.0,response regulator in two-component regulatory system with NarQ,b2193,
napD,1.5926249295429062,44.0,2296320.0,assembly protein for periplasmic nitrate reductase,b2207,
gtrS,1.5134110726632601,45.0,2463744.0,"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage",b2352,
ypeB,1.527653203059087,46.0,2521299.0,DUF3820 family protein,b4546,
ypfM,1.8299537038927531,47.0,2584192.0,stress-induced small enterobacterial protein,b4606,
hyfJ,1.563820499780322,48.0,2605056.0,putative processing element hydrogenase 4,b2490,['FHL']
yfgI,1.382996441520931,49.0,2623684.0,"nalidixic acid resistance protein, putative periplasmic protein",b2506,
shoB,1.4759197815980347,50.0,2693504.0,toxic membrane protein,b4687,
grcA,1.5815302824710291,51.0,2709504.0,autonomous glycyl radical cofactor,b2579,"['PFL', 'OBTFL']"
raiA,1.713103616301402,52.0,2730512.0,cold shock protein associated with 30S ribosomal subunit,b2597,
pheL,1.8330563381533458,52.0,2730957.0,pheA gene leader peptide,b2598,
rpsP,1.5658595979149414,53.0,2739295.0,30S ribosomal subunit protein S16,b2609,
