,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
ldrA,1.5466474006356834,1.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.5669148837242572,1.0,1265693.0,"toxic polypeptide, small",b4423,
tfaR,1.6854051469869407,2.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
tfaQ,1.6695041142990668,3.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
wbbI,1.3979960195628502,4.0,2099200.0,"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase",b2034,frozenset({<Reaction O16GALFT at 0x7fcfa6731048>})
wbbH,1.4392591622891753,4.0,2099540.0,O-antigen polymerase,b2035,"frozenset({<Reaction O16AP3pp at 0x7fcfa6724a90>, <Reaction O16AP1pp at 0x7fcfa6724a58>, <Reaction O16AP2pp at 0x7fcfa6724860>})"
yehE,1.3783055339056223,5.0,2186240.0,DUF2574 family protein,b2112,
yfaH,1.2944695734741303,6.0,2343129.0,No_gene_product,b2238,
yfbO,1.39681768554272,7.0,2382113.0,uncharacterized protein,b2274,
gtrA,1.3482004632809663,8.0,2461333.0,CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase/flippase,b2350,
gtrS,1.4887739087829217,8.0,2463744.0,"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage",b2352,
ypdJ,1.280764671799319,9.0,2469659.0,No_gene_product,b4545,
emrK,1.3687556824848164,10.0,2476032.0,multidrug resistance efflux pump membrane fusion protein,b2368,
ypfM,1.4307173973690424,11.0,2584192.0,stress-induced small enterobacterial protein,b4606,
shoB,1.5850496447361904,12.0,2693504.0,toxic membrane protein,b4687,
grcA,1.3309700851949613,13.0,2709504.0,autonomous glycyl radical cofactor,b2579,"frozenset({<Reaction PFL at 0x7fcfa66f1ac8>, <Reaction OBTFL at 0x7fcfa6731860>})"
raiA,1.395005213700216,14.0,2730512.0,cold shock protein associated with 30S ribosomal subunit,b2597,
bamE,1.300155902750718,15.0,2746963.0,lipoprotein component of BamABCDE OM biogenesis complex,b2617,
yfjJ,1.349468691324909,16.0,2753905.0,CP4-57 prophage; uncharacterized protein,b2626,
yfjU,1.3320996116638033,17.0,2765360.0,No_gene_product,b2638,
ypjJ,1.3481595221386575,18.0,2770432.0,uncharacterized protein,b4548,
yfjZ,1.3772125916811182,18.0,2770473.0,CP4-57 prophage; antitoxin of the YpjF-YfjZ toxin-antitoxin system,b2645,
ypjF,1.4042439459293898,18.0,2770944.0,CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system,b2646,
ygaC,1.3167664542157558,19.0,2793008.0,uncharacterized protein,b2671,
pncC,1.3557179424795902,20.0,2817207.0,nicotinamide-nucleotide amidohydrolase; NMN amidohydrolase,b2700,
