,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
hokC,1.424890007787885,1.0,16896.0,"toxic membrane protein, small",b4412,
mokC,1.4108136955384556,1.0,16896.0,"regulatory protein for HokC, overlaps CDS of hokC",b0018,
leuL,1.3784051145623832,2.0,80108.0,leu operon leader peptide,b0075,
yadK,1.42643572649808,3.0,147489.0,putative fimbrial-like adhesin protein,b0136,
yadM,1.3693500978726538,3.0,148729.0,putative fimbrial-like adhesin protein,b0138,
gloB,1.3547657189143791,4.0,230513.0,hydroxyacylglutathione hydrolase,b0212,frozenset({<Reaction GLYOX at 0x7fcfa6946978>})
yafT,1.4322416456756055,4.0,233821.0,lipoprotein,b0217,
ykfM,1.8724797614995172,4.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
yafU,1.4549602748250716,4.0,235520.0,No_gene_product,b0218,
yagL,1.5080835785608075,5.0,288930.0,CP4-6 prophage; DNA-binding protein,b0278,
yagM,1.7102778794900855,5.0,289655.0,CP4-6 prophage; uncharacterized protein,b0279,
ecpR,1.4623595293152227,6.0,306456.0,putative transcriptional regulator for the ecp operon,b0294,
ykgO,1.4428528232713997,6.0,308224.0,RpmJ-like protein,b4506,
ykgM,1.428398421977326,6.0,308224.0,50S ribosomal protein L31 type B; alternative zinc-limitation L31 protein,b0296,
ykgR,1.5538412682641787,6.0,308851.0,uncharacterized protein,b4671,
ykgP,1.7176460218821272,6.0,309426.0,No_gene_product,b4630,
ykgQ,1.4113137438401373,6.0,313149.0,No_gene_product,b4631,
rclB,1.5876856190204154,6.0,314041.0,reactive chlorine species (RCS) stress resistance periplasmic protein,b0303,
ykgH,1.480825304184467,7.0,320406.0,putative inner membrane protein,b0310,
yahL,1.4023092568877586,8.0,339968.0,uncharacterized protein,b0326,
yahO,1.5055148136482976,8.0,342194.0,"periplasmic protein, function unknown, YhcN family",b0329,
hha,1.9636061551815895,9.0,475648.0,"modulator of gene expression, with H-NS",b0460,
tomB,1.4207018764841766,9.0,475789.0,Hha toxicity attenuator; conjugation-related protein,b0461,
ybbC,1.6983708450399884,10.0,523036.0,putative immunity protein,b0498,
rhsH,1.5304711668033446,10.0,523407.0,No_gene_product,b0499,
ybbD,1.8410614831444343,10.0,524288.0,No_gene_product,b0501,
sfmA,1.4094341290244592,11.0,553667.0,"FimA homolog, function unknown",b0530,
ybcK,1.6964292493132647,12.0,565248.0,DLP12 prophage; putative recombinase,b0544,
ybcL,1.4725567738571048,12.0,566348.0,inactive polymorphonuclear leukocyte migration suppressor; DLP12 prophage; UPF0098 family secreted protein,b0545,
ybcM,1.6628698762776077,12.0,567296.0,DLP12 prophage; putative DNA-binding transcriptional regulator,b0546,
ybcV,1.823504724557634,13.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
ybcW,1.3638488972146299,13.0,575488.0,DLP12 prophage; uncharacterized protein,b0559,
ylcI,1.5607946840475926,13.0,575706.0,"DUF3950 family protein, DLP12 prophage",b4589,
appY,1.8480077968473225,14.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ompT,1.4038557298718204,14.0,580135.0,DLP12 prophage; outer membrane protease VII; outer membrane protein 3b,b0565,
ybdO,1.590298774661462,15.0,632832.0,putative DNA-binding transcriptional regulator,b0603,
dsbG,1.3407473991160328,15.0,633282.0,"thiol:disulfide interchange protein, periplasmic",b0604,"frozenset({<Reaction TDSR2 at 0x7fcfa65a15c0>, <Reaction DSBGGT at 0x7fcfa6a862e8>})"
ybfK,1.4686176661538322,16.0,716288.0,uncharacterized protein,b4590,
ybfB,1.454676914410956,17.0,729231.0,putative membrane protein,b0702,
ybfC,1.5517307877639896,17.0,731136.0,putative secreted protein,b0704,
ybfQ,1.747485933809435,17.0,731900.0,No_gene_product,b4514,
ybfL,1.5032365731602928,17.0,733184.0,No_gene_product,b0705,
ybfD,1.4935614649587174,17.0,733547.0,H repeat-associated putative transposase,b0706,
yccE,1.6443038372517784,18.0,1059491.0,uncharacterized protein,b1001,
ymfD,1.8830501709788514,19.0,1192322.0,e14 prophage; putative SAM-dependent methyltransferase,b1137,
