,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
peaD,1.395876064397835,1.0,561831.0,No_gene_product,b4508,
rzpD,1.3797166732541686,2.0,573562.0,DLP12 prophage; putative murein endopeptidase,b0556,
rzoD,1.4679099373122293,2.0,573952.0,DLP12 prophage; putative lipoprotein,b4510,
ycgJ,1.3999605063441694,3.0,1222055.0,uncharacterized protein,b1177,
tfaR,1.7001571552698453,4.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
pheM,1.4502273334564222,5.0,1793482.0,phenylalanyl-tRNA synthetase operon leader peptide,b1715,
ibsB,1.395154549815611,6.0,2147200.0,toxic membrane protein,b4668,
yfdT,1.406928469434186,7.0,2469376.0,CPS-53 (KpLE1) prophage; uncharacterized protein,b2363,
raiA,1.4591571374622994,8.0,2730512.0,cold shock protein associated with 30S ribosomal subunit,b2597,
pheL,1.5124006694270014,8.0,2730957.0,pheA gene leader peptide,b2598,
yfjJ,1.423119992018601,9.0,2753905.0,CP4-57 prophage; uncharacterized protein,b2626,
yqaE,1.32164174332487,10.0,2790228.0,cyaR sRNA-regulated protein,b2666,
yqgB,1.5015142876422696,11.0,3079278.0,uncharacterized protein,b2939,
yqgC,1.4311784053293934,11.0,3079680.0,uncharacterized protein,b2940,
ibsD,1.5318348769093748,12.0,3188124.0,toxic membrane protein,b4664,
ibsE,1.359910684575684,12.0,3188499.0,toxic membrane protein,b4666,
hpf,1.397690461361957,13.0,3339776.0,ribosome hibernation promoting factor HPF; stabilizes 100S dimers,b3203,
rplD,1.3933929952852193,14.0,3445039.0,50S ribosomal subunit protein L4,b3319,
bfd,1.5518583757134283,15.0,3460155.0,bacterioferritin-associated ferredoxin,b3337,
rpmG,1.3741033008283714,16.0,3804672.0,50S ribosomal subunit protein L33,b3636,
ilvN,1.3628636000471899,17.0,3844161.0,acetolactate synthase 1 small subunit,b3670,"['ACLS', 'ACHBS']"
yjhY,1.3910098656434848,18.0,4521984.0,No_gene_product,b4656,
