,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
ykgS,1.9111518408254973,1.0,286208.0,No_gene_product,b4688,
appY,1.4294118891438223,2.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ldrA,1.5662021941463076,3.0,1264640.0,"toxic polypeptide, small",b4419,
tfaR,1.470746445242469,4.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,1.6225008520786606,4.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ydfK,1.6287924561658567,5.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.467222688827128,5.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
wbbK,1.46362601701264,6.0,2097152.0,lipopolysaccharide biosynthesis protein,b2032,frozenset({<Reaction O16GLCT1 at 0x7fcfa67311d0>})
wbbI,1.4526590984749874,6.0,2099200.0,"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase",b2034,frozenset({<Reaction O16GALFT at 0x7fcfa6731048>})
wbbH,1.506285108825265,6.0,2099540.0,O-antigen polymerase,b2035,"frozenset({<Reaction O16AP3pp at 0x7fcfa6724a90>, <Reaction O16AP1pp at 0x7fcfa6724a58>, <Reaction O16AP2pp at 0x7fcfa6724860>})"
rfbC,1.4112444320972788,6.0,2103296.0,"dTDP-4-deoxyrhamnose-3,5-epimerase",b2038,frozenset({<Reaction TDPDRE at 0x7fcfa65a1160>})
ibsA,1.3547900439917264,7.0,2146829.0,toxic membrane protein,b4667,
yegR,1.4214438209353462,8.0,2161664.0,uncharacterized protein,b2085,
yehK,1.3940253814346326,9.0,2197504.0,uncharacterized protein,b4541,
yfbM,1.3575182964436847,10.0,2380412.0,DUF1877 family protein,b2272,
yfbO,1.4272258887840141,10.0,2382113.0,uncharacterized protein,b2274,
yfbR,1.391524460166076,11.0,2402340.0,5'-nucleotidase,b2291,"frozenset({<Reaction NTD1 at 0x7fcfa6778c18>, <Reaction NTD5 at 0x7fcfa678a828>, <Reaction NTD8 at 0x7fcfa678ae10>, <Reaction NTD3 at 0x7fcfa678a4a8>, <Reaction NTD6 at 0x7fcfa678a9e8>, <Reaction NTD12 at 0x7fcfa678a0f0>})"
yfbT,1.49528946470961,11.0,2404917.0,sugar phosphatas,b2293,
yfbU,1.4712247015549225,11.0,2405578.0,UPF0304 family protein,b2294,
yfbV,1.4880021419657772,11.0,2406400.0,UPF0208 family inner membrane protein,b2295,
ackA,1.388850390572162,11.0,2406948.0,acetate kinase A and propionate kinase 2,b2296,frozenset({<Reaction ACKr at 0x7fcfa6bdb7f0>})
yfcC,1.4287814694745384,11.0,2410559.0,putative inner membrane transporter; C4-dicarboxylate anaerobic carrier family protein,b2298,
yfcD,1.540781206822728,11.0,2412544.0,putative NUDIX hydrolase,b2299,
yfcE,1.436359840765455,11.0,2412712.0,phosphodiesterase activity on bis-pNPP,b2300,
yfcG,1.381025761552957,11.0,2414592.0,GSH-dependent disulfide bond oxidoreductase,b2302,
folX,1.5811891992766385,11.0,2414803.0,"D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase",b2303,frozenset({<Reaction DHPTPE at 0x7fcfa6a64e10>})
yfcH,1.4282834983343964,11.0,2415186.0,putative NAD-dependent nucleotide-sugar epimerase,b2304,
yfcI,1.6327209295622653,11.0,2416640.0,transposase_31 family protein,b2305,
hisP,1.4168894122085214,11.0,2417214.0,histidine ABC transporter ATPase,b2306,"frozenset({<Reaction LYSabcpp at 0x7fcfa682e898>, <Reaction HISabcpp at 0x7fcfa69113c8>, <Reaction ARGabcpp at 0x7fcfa6b70a58>, <Reaction ORNabcpp at 0x7fcfa67490f0>})"
argT,1.4953459958564133,11.0,2420736.0,lysine/arginine/ornithine transporter subunit,b2310,"frozenset({<Reaction LYSabcpp at 0x7fcfa682e898>, <Reaction ARGabcpp at 0x7fcfa6b70a58>, <Reaction ORNabcpp at 0x7fcfa67490f0>})"
ubiX,1.3541505958297728,11.0,2421535.0,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,b2311,frozenset({<Reaction OPHBDC at 0x7fcfa673ea20>})
cvpA,1.3698128835776415,11.0,2423753.0,colicin V production protein,b2313,
accD,1.4250900828548656,11.0,2426880.0,"acetyl-CoA carboxylase, beta (carboxyltransferase) subunit",b2316,frozenset({<Reaction ACCOAC at 0x7fcfa6c4d6a0>})
yfcJ,1.3980398444825408,12.0,2433024.0,putative arabinose efflux transporter,b2322,
mnmC,1.4190992551169803,12.0,2435242.0,fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase and FAD-dependent demodification enzyme,b2324,
yfcL,1.386525304858358,12.0,2437632.0,uncharacterized protein,b2325,
smrB,1.4388319581739488,13.0,2442084.0,putative DNA endonuclease,b2331,
yfcR,1.4126928412799173,13.0,2444550.0,putative fimbrial-like adhesin protein,b2335,
yfcS,1.4329613204776874,13.0,2445312.0,putative periplasmic pilin chaperone,b2336,
sixA,1.6064652930099639,13.0,2449805.0,phosphohistidine phosphatase,b2340,
fadI,1.3947165766683227,13.0,2453504.0,"beta-ketoacyl-CoA thiolase, anaerobic, subunit",b2342,"frozenset({<Reaction ACACT7r at 0x7fcfa6c41c50>, <Reaction ACACT2r at 0x7fcfa6c41860>, <Reaction ACACT5r at 0x7fcfa6c41ac8>, <Reaction ACACT3r at 0x7fcfa6c418d0>, <Reaction ACACT1r at 0x7fcfa6c41710>, <Reaction ACACT6r at 0x7fcfa6c41748>, <Reaction ACACT8r at 0x7fcfa6c41dd8>, <Reaction ACACT4r at 0x7fcfa6c419e8>})"
yfcZ,1.4123027639697932,13.0,2454128.0,UPF0381 family protein,b2343,
fadL,1.5099890804931528,13.0,2455552.0,long-chain fatty acid outer membrane transporter,b2344,"frozenset({<Reaction TTDCAtexi at 0x7fcfa6555c18>, <Reaction OCDCEAtexi at 0x7fcfa6731a20>, <Reaction HDCAtexi at 0x7fcfa6906940>, <Reaction TTDCEAtexi at 0x7fcfa6555b70>, <Reaction DDCAtexi at 0x7fcfa6abfc88>, <Reaction HDCEAtexi at 0x7fcfa6906ac8>, <Reaction OCDCAtexi at 0x7fcfa67318d0>})"
yfdF,1.8471069130910045,13.0,2456490.0,uncharacterized protein,b2345,
mlaA,1.4409256816953377,13.0,2457730.0,"ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component",b2346,
gtrA,1.4869620413458435,13.0,2461333.0,CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase/flippase,b2350,
gtrB,1.5192752493575101,13.0,2461696.0,CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase,b2351,
