,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
yaaA,1.3243064193436143,0.0,6144.0,"peroxide resistance protein, lowers intracellular iron",b0006,
hokC,1.3045067400348003,1.0,16896.0,"toxic membrane protein, small",b4412,
mokC,1.351974964176329,1.0,16896.0,"regulatory protein for HokC, overlaps CDS of hokC",b0018,
ykfN,1.6903299991344187,2.0,258860.0,No_gene_product,b4626,
ykfI,1.3795342564953343,2.0,259038.0,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system,b0245,
yagE,1.3879357734303384,3.0,278528.0,2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage,b0268,
yagH,1.545784542889023,3.0,282499.0,CP4-6 prophage; putative xylosidase/arabinosidase,b0271,
yagK,1.4370678371469747,3.0,288032.0,CP4-6 prophage; conserved protein,b0277,
ecpA,1.5334252136226185,4.0,305794.0,ECP pilin,b0293,
ykgR,1.542914354007321,4.0,308851.0,uncharacterized protein,b4671,
ykgP,1.556795768517271,4.0,309426.0,No_gene_product,b4630,
rclB,1.5793192219292438,4.0,314041.0,reactive chlorine species (RCS) stress resistance periplasmic protein,b0303,
ykgH,1.4224911703143814,5.0,320406.0,putative inner membrane protein,b0310,
cynS,1.3430393100418665,6.0,355199.0,cyanate aminohydrolase,b0340,['CYNTAH']
emrE,1.3993703342538564,7.0,563770.0,DLP12 prophage; multidrug resistance protein,b0543,
uof,1.4369485745521513,8.0,706094.0,ryhB-regulated fur leader peptide,b4637,
ybfK,1.6454378936078964,9.0,716288.0,uncharacterized protein,b4590,
ybfA,1.3656510098508998,10.0,724589.0,DUF2517 family protein,b0699,
ybfB,1.4873641783920004,10.0,729231.0,putative membrane protein,b0702,
mntS,1.3560025129073616,11.0,848384.0,"Mn(2)-response protein, MntR-repressed",b4705,
bssR,1.3792271998854033,12.0,873703.0,repressor of biofilm formation by indole transport regulation,b0836,
cspD,1.3264400241303345,13.0,918016.0,"inhibitor of DNA replication, cold shock protein homolog",b0880,
rmf,1.3885510462343906,14.0,1011200.0,ribosome modulation factor,b0953,
hspQ,1.305201841674624,15.0,1024000.0,heat shock protein involved in degradation of mutant DnaA; hemimethylated oriC DNA-binding protein,b0966,
yceD,1.5300559415826316,16.0,1142249.0,DUF177 family protein,b1088,
rpmF,1.712084649605437,16.0,1142822.0,50S ribosomal subunit protein L32,b1089,
intE,1.4368372440724133,17.0,1196032.0,e14 prophage; putative integrase,b1140,
xisE,1.6186415960818747,17.0,1196242.0,e14 prophage; putative excisionase,b1141,
ymfI,1.7330214560737853,17.0,1196952.0,e14 prophage; uncharacterized protein,b1143,
ymfJ,1.6956693683278348,17.0,1197231.0,e14 prophage; uncharacterized protein,b1144,
