,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
thrL,1.367614797254721,0.0,189.0,thr operon leader peptide,b0001,
hokC,1.4516185013514504,1.0,16896.0,"toxic membrane protein, small",b4412,
mokC,1.4315716604290436,1.0,16896.0,"regulatory protein for HokC, overlaps CDS of hokC",b0018,
yadC,1.595680913901584,2.0,146201.0,putative fimbrial-like adhesin protein,b0135,
yadK,1.694533860969676,2.0,147489.0,putative fimbrial-like adhesin protein,b0136,
yadM,1.4345464298548896,2.0,148729.0,putative fimbrial-like adhesin protein,b0138,
htrE,1.405235996240968,2.0,149315.0,putative outer membrane usher protein,b0139,
yadN,1.489422576271478,2.0,152785.0,putative fimbrial-like adhesin protein,b0141,
yaeP,1.4771750490119144,3.0,210432.0,UPF0253 family protein,b4406,
gloB,1.4801554086650621,4.0,230513.0,hydroxyacylglutathione hydrolase,b0212,['GLYOX']
ykfM,2.306558417846807,4.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
yafQ,1.7455924058977224,5.0,242688.0,mRNA interferase toxin of toxin-antitoxin pair YafQ/DinJ,b0225,
dinJ,1.595633696587377,5.0,242728.0,antitoxin of YafQ-DinJ toxin-antitoxin system,b0226,
ykfN,1.4182225694879353,6.0,258860.0,No_gene_product,b4626,
ykgS,1.751619637168106,7.0,286208.0,No_gene_product,b4688,
yagK,1.6113945923229869,7.0,288032.0,CP4-6 prophage; conserved protein,b0277,
yagL,1.9808241984733626,7.0,288930.0,CP4-6 prophage; DNA-binding protein,b0278,
yagM,1.8955675917284396,7.0,289655.0,CP4-6 prophage; uncharacterized protein,b0279,
ykgL,1.4797858462992046,8.0,307822.0,uncharacterized protein,b0295,
ykgO,1.5406144158108155,8.0,308224.0,RpmJ-like protein,b4506,
ykgM,1.4805785745610032,8.0,308224.0,50S ribosomal protein L31 type B; alternative zinc-limitation L31 protein,b0296,
ykgR,2.119732056511998,8.0,308851.0,uncharacterized protein,b4671,
ykgP,1.7029716180969618,8.0,309426.0,No_gene_product,b4630,
ykgQ,1.830804814491109,8.0,313149.0,No_gene_product,b4631,
rclB,2.211474232629892,8.0,314041.0,reactive chlorine species (RCS) stress resistance periplasmic protein,b0303,
ykgH,1.5220884569268596,9.0,320406.0,putative inner membrane protein,b0310,
yahL,1.763568341545419,10.0,339968.0,uncharacterized protein,b0326,
yaiV,1.5347722225969143,11.0,389961.0,putative transcriptional regulator,b0375,
yajI,1.4170075813053524,12.0,428032.0,putative lipoprotein,b0412,
hha,1.480409386803211,13.0,475648.0,"modulator of gene expression, with H-NS",b0460,
tomB,1.980527936665096,13.0,475789.0,Hha toxicity attenuator; conjugation-related protein,b0461,
ybbC,1.4502271362486616,14.0,523036.0,putative immunity protein,b0498,
ybbD,1.6693276257602156,14.0,524288.0,No_gene_product,b0501,
sfmZ,1.6609479983979494,15.0,559303.0,response regulator family protein,b0535,
emrE,1.8912619488788975,16.0,563770.0,DLP12 prophage; multidrug resistance protein,b0543,
ybcK,1.9328663047224033,16.0,565248.0,DLP12 prophage; putative recombinase,b0544,
ybcL,1.550298508189486,16.0,566348.0,inactive polymorphonuclear leukocyte migration suppressor; DLP12 prophage; UPF0098 family secreted protein,b0545,
ybcM,1.8125165471549312,16.0,567296.0,DLP12 prophage; putative DNA-binding transcriptional regulator,b0546,
ylcH,1.6378950318041674,16.0,567823.0,"uncharacterized protein, DLP12 prophage",b4588,
essD,1.3721082452853488,17.0,572928.0,DLP12 prophage; putative phage lysis protein,b0554,
ybcV,1.9835185974242209,17.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
ybcW,1.6948364798309705,17.0,575488.0,DLP12 prophage; uncharacterized protein,b0559,
tfaX,1.4940552149224828,18.0,578560.0,No_gene_product,b0563,
appY,2.119805345638734,18.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ompT,1.3783967990434012,18.0,580135.0,DLP12 prophage; outer membrane protease VII; outer membrane protein 3b,b0565,
ybdD,1.4712402356370173,19.0,627712.0,DUF466 family protein,b4512,
ybdO,1.7443208474505805,19.0,632832.0,putative DNA-binding transcriptional regulator,b0603,
cspE,1.3872640394330253,20.0,652800.0,constitutive cold shock family transcription antitermination protein; negative regulator of cspA transcription; RNA melting protein; ssDNA-binding protein,b0623,
ybfP,1.4288662676163495,21.0,710867.0,lipoprotein,b0689,
ybfK,1.4821828353363917,21.0,716288.0,uncharacterized protein,b4590,
ybfA,1.453471633757343,22.0,724589.0,DUF2517 family protein,b0699,
ybfB,1.7755446153115055,22.0,729231.0,putative membrane protein,b0702,
ybfC,1.4713448757675744,22.0,731136.0,putative secreted protein,b0704,
ybfQ,1.8779851431245034,22.0,731900.0,No_gene_product,b4514,
ybfD,1.5156216579399642,22.0,733547.0,H repeat-associated putative transposase,b0706,
dps,1.5005104054901561,23.0,843863.0,Fe-binding and storage protein; stress-inducible DNA-binding protein,b0812,
cmk,1.3191051124877333,24.0,956656.0,cytidylate kinase,b0910,"['CYTK2', 'CYTK1', 'UMPK']"
cspH,1.540872592938452,25.0,1046528.0,"stress protein, member of the CspA-family",b0989,
yccE,1.7423547390562921,26.0,1059491.0,uncharacterized protein,b1001,
ymdF,1.3444091808407226,26.0,1063536.0,KGG family protein,b4518,
