,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
rpsT,1.3726278827931564,1.0,20992.0,30S ribosomal subunit protein S20,b0023,
ykfN,1.4543532600625224,2.0,258860.0,No_gene_product,b4626,
ykgS,1.6260583006033045,3.0,286208.0,No_gene_product,b4688,
ykgQ,1.3837209439872393,4.0,313149.0,No_gene_product,b4631,
xisD,1.3919277268375312,5.0,561313.0,No_gene_product,b4633,
ybfQ,1.388009457137271,6.0,731900.0,No_gene_product,b4514,
cbdX,1.3378973603993731,7.0,1035900.0,putative cytochrome bd-II oxidase subunit,b4592,
ldrA,1.3622156088578976,8.0,1264640.0,"toxic polypeptide, small",b4419,
tfaR,1.786118377043368,9.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,1.7503058745633708,9.0,1428480.0,"cold shock protein, Rac prophage",b1375,
tfaQ,1.6792405457401864,10.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
cspI,1.3664865404316648,11.0,1632768.0,Qin prophage; cold shock protein,b1552,
yfbO,1.451882102518368,12.0,2382113.0,uncharacterized protein,b2274,
yfcZ,1.3205817856498137,13.0,2454128.0,UPF0381 family protein,b2343,
ypeB,1.4204862292494569,14.0,2521299.0,DUF3820 family protein,b4546,
ypfM,1.5180583318561132,15.0,2584192.0,stress-induced small enterobacterial protein,b4606,
pheL,1.3881502788749198,16.0,2730957.0,pheA gene leader peptide,b2598,
yfiL,1.3582141168591284,16.0,2734718.0,lipoprotein,b2602,
ypjK,1.3443306539919286,17.0,2763803.0,CP4-57 prophage; putative inner membrane protein,b2635,
hycA,1.4415390915543762,18.0,2843332.0,regulator of the transcriptional regulator FhlA,b2725,
ygdI,1.3152009129375417,19.0,2936320.0,DUF903 family verified lipoprotein,b2809,
yqeJ,1.4269352968979034,20.0,2982662.0,uncharacterized protein,b2848,
yqeL,1.324350208290058,20.0,2983177.0,uncharacterized protein,b4683,
yqeK,1.4481631482680792,20.0,2983293.0,uncharacterized protein,b2849,
yqgB,1.354961155706283,21.0,3079278.0,uncharacterized protein,b2939,
yggL,1.4183462060602503,22.0,3095165.0,DUF469 family protein,b2959,
mqsA,1.4030112395222716,23.0,3161209.0,antitoxin for MqsR toxin; transcriptional repressor,b3021,
tdcR,1.3856858984660625,24.0,3260928.0,L-threonine dehydratase operon activator protein,b3119,
yhdU,1.3202507310384985,25.0,3405979.0,putative membrane protein,b3263,
uspB,1.4229030719875813,26.0,3632744.0,universal stress (ethanol tolerance) protein B,b3494,
cbrB,1.4190498178475157,27.0,3891200.0,"PRK09823 family inner membrane protein, creBC regulon",b3716,
yiiS,1.396782651392803,28.0,4103168.0,UPF0381 family protein,b3922,
yjdI,1.4497689333650314,29.0,4341760.0,putative 4Fe-4S mono-cluster protein,b4126,
yjdJ,1.329109604746864,29.0,4341901.0,GNAT family putative N-acetyltransferase,b4127,
yjdQ,1.368165255278814,30.0,4352007.0,No_gene_product,b4654,
yjjY,1.3683078967987403,31.0,4630218.0,uncharacterized protein,b4402,
