,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
ligT,1.3555367875360338,1.0,157987.0,2'-5' RNA ligase,b0147,
rpsB,1.3156114003999904,2.0,186368.0,30S ribosomal subunit protein S2,b0169,
tsaA,1.57533605675899,3.0,215373.0,"tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent",b0195,
yafE,1.3734399870191194,4.0,228412.0,putative S-adenosyl-L-methionine-dependent methyltransferase,b0210,
mltD,1.442034583250852,4.0,229376.0,putative membrane-bound lytic murein transglycosylase D,b0211,
ykfN,1.4786390856275267,5.0,258860.0,No_gene_product,b4626,
ykfI,1.437214141612568,5.0,259038.0,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system,b0245,
ykfK,1.3340018744589468,6.0,262656.0,No_gene_product,b4628,
yagE,1.4797029211256305,7.0,278528.0,2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage,b0268,
yagF,1.6091020964550244,7.0,278911.0,CP4-6 prophage; dehydratase family protein,b0269,
ykgP,1.3330464226078804,8.0,309426.0,No_gene_product,b4630,
nusB,1.519550623936047,9.0,430592.0,transcription antitermination protein,b0416,
ybaB,1.4579013961348735,10.0,489531.0,"DNA-binding protein, putative nucleoid-associated protein",b0471,
recR,1.493032578105261,10.0,489860.0,gap repair protein,b0472,
ybcJ,1.3688745213160387,11.0,552116.0,ribosome-associated protein; putative RNA-binding protein,b0528,
ybdD,1.488234965690185,12.0,627712.0,DUF466 family protein,b4512,
rnk,1.5615737675403236,13.0,639012.0,regulator of nucleoside diphosphate kinase,b0610,
citX,1.3967210572737334,13.0,643072.0,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,b0614,frozenset({<Reaction CITL at 0x7fcfa6b544e0>})
chiQ,1.3673795768304213,14.0,705536.0,chitosugar-induced verified lipoprotein,b0682,
uof,1.359403715051092,14.0,706094.0,ryhB-regulated fur leader peptide,b4637,
ihfB,1.388273551077101,15.0,959488.0,"integration host factor (IHF), DNA-binding protein, beta subunit",b0912,
rmf,1.598170661966656,16.0,1011200.0,ribosome modulation factor,b0953,
yceD,1.4832829895341877,17.0,1142249.0,DUF177 family protein,b1088,
xisE,1.4833087039658395,18.0,1196242.0,e14 prophage; putative excisionase,b1141,
ymfI,1.4114672285733043,18.0,1196952.0,e14 prophage; uncharacterized protein,b1143,
ymfJ,1.6248395626772547,18.0,1197231.0,e14 prophage; uncharacterized protein,b1144,
croE,1.454431589119484,18.0,1198592.0,e14 prophage; putative DNA-binding transcriptional regulator,b1146,
ymfL,1.560612451445104,18.0,1198723.0,e14 prophage; putative DNA-binding transcriptional regulator,b1147,
ymfR,1.3773543274652034,18.0,1201152.0,e14 prophage; uncharacterized protein,b1150,
ldrA,1.5976853530899238,19.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.5897020220676799,19.0,1265693.0,"toxic polypeptide, small",b4423,
yciG,1.4054059761286446,20.0,1310208.0,KGG family protein,b1259,
yciN,1.6280899542171932,21.0,1324673.0,DUF2498 protein YciN,b1273,
ymiB,1.3655427049938653,22.0,1341052.0,uncharacterized protein,b4672,
ynbG,1.3138678981792016,23.0,1459456.0,uncharacterized protein,b4674,
hokB,1.4301509051354633,24.0,1486178.0,"toxic polypeptide, small",b4428,
mokB,1.383385085846923,24.0,1486336.0,regulatory peptide,b1420,
ydcH,1.4163720155072843,24.0,1492992.0,DUF465 family protein,b1426,
yddM,1.4803187651924687,25.0,1546752.0,putative DNA-binding transcriptional regulator,b1477,
hokD,1.7822557852015732,26.0,1639424.0,Qin prophage; small toxic polypeptide,b1562,
pheM,1.679556960594638,27.0,1793482.0,phenylalanyl-tRNA synthetase operon leader peptide,b1715,
cspC,1.3639703042332532,28.0,1901568.0,"stress protein, member of the CspA-family",b1823,
nudB,1.536984140095373,29.0,1942436.0,dihydroneopterin triphosphate pyrophosphatase,b1865,"frozenset({<Reaction NTPP5 at 0x7fcfa6717208>, <Reaction DNTPPA at 0x7fcfa6a793c8>})"
yoeH,1.5275692085276384,30.0,2061824.0,No_gene_product,b4641,
yoeF,1.5865185523875676,31.0,2072226.0,No_gene_product,b4538,
hisL,1.5557004257363956,32.0,2083476.0,his operon leader peptide,b2018,
napD,1.6105791275649213,33.0,2296320.0,assembly protein for periplasmic nitrate reductase,b2207,
ypfM,1.5213850914900946,34.0,2584192.0,stress-induced small enterobacterial protein,b4606,
glnB,1.3261198194539545,35.0,2680428.0,regulatory protein P-II for glutamine synthetase,b2553,
grcA,1.4302158758613361,36.0,2709504.0,autonomous glycyl radical cofactor,b2579,"frozenset({<Reaction PFL at 0x7fcfa66f1ac8>, <Reaction OBTFL at 0x7fcfa6731860>})"
raiA,1.6199099453870105,37.0,2730512.0,cold shock protein associated with 30S ribosomal subunit,b2597,
pheL,1.3995458714421039,37.0,2730957.0,pheA gene leader peptide,b2598,
rplS,1.6743206451625867,38.0,2737541.0,50S ribosomal subunit protein L19,b2606,
rimM,1.410501719334332,38.0,2738728.0,ribosome maturation factor,b2608,
rpsP,1.4247698003102576,38.0,2739295.0,30S ribosomal subunit protein S16,b2609,
bamE,1.584239742947197,39.0,2746963.0,lipoprotein component of BamABCDE OM biogenesis complex,b2617,
ypjK,1.4537961856591108,40.0,2763803.0,CP4-57 prophage; putative inner membrane protein,b2635,
yfjU,1.468653141799238,40.0,2765360.0,No_gene_product,b2638,
ypjF,1.4717432876790506,41.0,2770944.0,CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system,b2646,
nrdI,1.442757401874276,42.0,2794323.0,NrdEF cluster assembly flavodoxin,b2674,
mprA,1.348765494869493,43.0,2804128.0,transcriptional repressor of microcin B17 synthesis and multidrug efflux,b2684,
hycA,1.5656505553267221,44.0,2843332.0,regulator of the transcriptional regulator FhlA,b2725,
mazF,1.4377639454847608,45.0,2904114.0,"mRNA interferase toxin, antitoxin is MazE",b2782,
ibsC,1.969300919270036,46.0,3050248.0,toxic membrane protein,b4665,
