,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
ompF,1.5795307264199985,1.0,981349.0,outer membrane porin 1a (Ia;b;F),b0929,"['ACNAMtex', 'SUCCtex', 'XYLUtex', 'ACALDtex', 'CMPtex', 'F6Ptex', 'CLtex', 'DHAtex', 'IMPtex', 'PHEtex', 'IDONtex', 'CMtex', 'CRNDtex', 'DAMPtex', 'GLYC3Ptex', 'CGLYtex', 'DDGLCNtex', 'MANtex', 'INDOLEtex', 'TRPtex', 'UMPtex', 'ACGAM1Ptex', 'GSNtex', 'CRNtex', 'GMPtex', 'LEUtex', 'XYLtex', 'FE2tex', 'SLNTtex', 'ACGALtex', 'SKMtex', 'SO2tex', 'CITtex', 'DALAtex', 'SO3tex', 'CO2tex', 'ACGAL1Ptex', 'GTHOXtex', 'CHLtex', 'FORtex', 'TSULtex', 'SUCRtex', 'SULFACtex', 'INSTtex', 'TTRCYCtex', 'PItex', 'DGMPtex', 'AMPtex', 'ANHGMtex', 'DGSNtex', 'ILEtex', 'GLYCLTtex', 'COBALT2tex', 'Zn2tex', 'ACSERtex', 'TUNGStex', 'CSNtex', 'AGMtex', 'LIPOtex', 'CHTBStex', 'SO4tex', 'DAPtex', '3UMPtex', 'TYMtex', 'URAtex', 'ACGAtex', 'LYStex', 'DINStex', 'GALURtex', 'GTHRDtex', 'OROTtex', 'ALLTNtex', 'MMETtex', 'FUSAtex', 'NH4tex', 'THMtex', '12PPDRtex', 'ALAALAtex', 'NOtex', '12PPDStex', 'R5Ptex', 'XANtex', 'CUtex', 'SPMDtex', 'XMPtex', 'ALLtex', 'TYRPtex', '23CCMPtex', 'DCAtex', 'GAMAN6Ptex', 'THRPtex', 'TYRtex', '23CAMPtex', 'CU2tex', 'NI2tex', 'NO2tex', 'GTPtex', 'MNLtex', 'GLCNtex', '23CGMPtex', 'GAL1Ptex', '23CUMPtex', 'GALtex', 'HG2tex', 'MALtex', 'NAtex', '23DAPPAtex', 'DCMPtex', 'G1Ptex', 'MAN6Ptex', 'UACGAMtex', 'PYDAMtex', 'XTSNtex', 'MNtex', 'ARBTtex', 'DMSOtex', 'THMDtex', 'G6Ptex', 'GAMtex', 'HIStex', 'NMNtex', 'PACALDtex', 'THRtex', 'GALBDtex', 'THYMtex', 'GBBTNtex', 'PNTOtex', 'TREtex', 'CYANtex', 'MANGLYCtex', 'NO3tex', 'FE3tex', 'GLCRtex', '26DAHtex', 'PYDXNtex', 'H2O2tex', 'DIMPtex', 'DMStex', 'H2Otex', 'O2Stex', 'UDPGALtex', 'ASPtex', '3CMPtex', '3HPPtex', 'HCINNMtex', 'ARBtex', '3AMPtex', 'ACtex', 'GLYCtex', 'O2tex', 'DSERtex', 'FRULYStex', 'PSCLYStex', 'ABUTtex', 'MOBDtex', 'LALALGLUtex', 'CA2tex', 'GLCUR1Ptex', 'GLCURtex', 'DOXRBCNtex', 'H2Stex', 'UDPGLCURtex', 'DOPAtex', 'FRUURtex', 'GLCtex', 'HXAtex', 'CD2tex', 'DUMPtex', 'ETHAtex', 'H2tex', 'FRUtex', 'UDPGtex', 'ADEtex', 'ETHSO3tex', 'D__LACtex', 'DTMPtex', 'FALDtex', 'CYTDtex', 'OCTAtex', 'GLYtex', 'SERtex', 'PSERtex', 'BALAtex', 'FUCtex', 'LCTStex', 'PROGLYtex', 'ETOHtex', 'ACMUMtex', 'HYXNtex', 'ACMANAtex', 'Htex', '34dhpactex', 'ARGtex', 'UDPACGALtex', 'ACACtex', 'PROtex', '3GMPtex', 'PEAMNtex', 'FUMtex', 'MELIBtex', '3PEPTtex', 'ASO3tex', 'BTNtex', 'GALTtex', 'MSO3tex', 'CYNTtex', 'TARTRDtex', 'CYSDtex', 'METtex', 'UREAtex', 'RIBtex', 'MEOHtex', 'PPALtex', 'ISETACtex', 'PYDXtex', 'SBTtex', 'LYXtex', 'ALAtex', 'GLNtex', 'ASCBtex', 'GALCTNLtex', '4HOXPACDtex', 'TMAtex', 'MG2tex', 'G3PCtex', 'RMNtex', 'GALCTNtex', 'Ktex', 'HOMtex', 'TARTRtex', 'GLUtex', 'GALCTtex', 'TMAOtex', 'MALDtex', '4PEPTtex', 'G3PGtex', 'PYRtex', 'GLYALDtex', 'METDtex', '5DGLCNtex', 'ASNtex', 'PPAtex', 'GDPtex', 'MINCYCtex', 'N2Otex', 'G3PEtex', 'L__LACtex', 'HPPPNtex', 'TAURtex', 'SELtex', 'TCYNTtex', 'PPPNtex', 'QUIN2tex', 'GLYBtex', 'NACtex', 'CYStex', 'GLYCAtex', 'G3PItex', 'BUTSO3tex', 'METSOX1tex', 'VALtex', 'GLYC2Ptex', 'AKGtex', 'BUTtex', 'METSOX2tex', 'PTRCtex', 'LALADGLUtex', 'ORNtex', '5MTRtex', 'G3PStex', 'PPTtex']"
ldrA,1.5463082543598698,2.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.5470116698641927,2.0,1265693.0,"toxic polypeptide, small",b4423,
tfaR,1.7280092718202504,3.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,1.6453429734959533,3.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ydfK,1.6722196296336493,4.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.7287629312891677,4.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
yqcG,1.5273053455379215,5.0,2898944.0,membrane stress resistance protein,b4682,
yqeJ,1.3199507678552302,6.0,2982662.0,uncharacterized protein,b2848,
yqeL,1.4469591883683748,6.0,2983177.0,uncharacterized protein,b4683,
