,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
ykfM,1.4845737060070936,1.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
ykgR,1.3930819038287163,2.0,308851.0,uncharacterized protein,b4671,
ykgP,1.4193242330256264,2.0,309426.0,No_gene_product,b4630,
rclB,1.4622095643043267,2.0,314041.0,reactive chlorine species (RCS) stress resistance periplasmic protein,b0303,
ylcH,1.3114360779632972,3.0,567823.0,"uncharacterized protein, DLP12 prophage",b4588,
ybcV,1.5094525337716052,4.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
appY,1.405981127857194,5.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ybfB,1.3199171317556018,6.0,729231.0,putative membrane protein,b0702,
iraM,1.4217146413717974,7.0,1207296.0,"RpoS stabilzer during Mg starvation, anti-RssB factor",b1160,
ariR,1.4332053230285902,8.0,1211904.0,RcsB connector protein for regulation of biofilm and acid-resistance,b1166,
ldrA,1.6392610783600108,9.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.6095737488995014,9.0,1265693.0,"toxic polypeptide, small",b4423,
ralR,1.3153770591733396,10.0,1408000.0,Rac prophage; restriction alleviation protein,b1348,
ydaE,1.377995330829988,10.0,1412096.0,"conserved protein, Rac prophage",b4526,
tfaR,1.7303472028411193,11.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,2.011235012352093,11.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ttcC,1.3843049775481837,11.0,1429248.0,No_gene_product,b4638,
ynbG,1.5162093759946231,12.0,1459456.0,uncharacterized protein,b4674,
yncH,1.3548434837640706,13.0,1521196.0,IPR020099 family protein,b1455,
ydcD,1.502767492592668,13.0,1524178.0,putative immunity protein for RhsE,b1457,
yddK,1.396623927945947,14.0,1538640.0,No_gene_product,b1471,
safA,1.4031732041998854,15.0,1578018.0,"two-component system connector membrane protein, EvgSA to PhoQP",b1500,
ydfK,2.019153610719681,16.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.706129860221142,16.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
cspB,1.3178089882600146,17.0,1635595.0,Qin prophage; cold shock protein,b1557,
yoeH,1.354916331454834,18.0,2061824.0,No_gene_product,b4641,
wbbK,1.4043333771907733,19.0,2097152.0,lipopolysaccharide biosynthesis protein,b2032,['O16GLCT1']
wbbI,1.3843413605068398,19.0,2099200.0,"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase",b2034,['O16GALFT']
wbbH,1.461320708507199,19.0,2099540.0,O-antigen polymerase,b2035,"['O16AP1pp', 'O16AP2pp', 'O16AP3pp']"
yfbO,1.3883235735163115,20.0,2382113.0,uncharacterized protein,b2274,
yfdF,1.3751215568230095,21.0,2456490.0,uncharacterized protein,b2345,
gtrS,1.5913070277537404,22.0,2463744.0,"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage",b2352,
ypdI,1.456246487045795,23.0,2488320.0,putative lipoprotein involved in colanic acid biosynthesis,b2376,
shoB,1.4720288815613622,24.0,2693504.0,toxic membrane protein,b4687,
pheL,1.5157164857106342,25.0,2730957.0,pheA gene leader peptide,b2598,
ypjF,1.3798404353429066,26.0,2770944.0,CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system,b2646,
ygaQ,1.4236395664381538,26.0,2779755.0,No_gene_product,b4462,
yqcG,1.5548318391668836,27.0,2898944.0,membrane stress resistance protein,b4682,
ygcG,1.389672278746828,27.0,2899069.0,"TPM domain protein, putative phosphatase",b2778,
yqeI,1.4548976217471374,28.0,2981888.0,putative transcriptional regulator,b2847,
yqeJ,1.4701155012081357,28.0,2982662.0,uncharacterized protein,b2848,
yqeL,1.564046751231166,28.0,2983177.0,uncharacterized protein,b4683,
yqeK,1.6058770871965122,28.0,2983293.0,uncharacterized protein,b2849,
ygeF,1.6433955091220105,28.0,2983936.0,No_gene_product,b2850,
ygeG,1.5181443911192773,28.0,2984626.0,SycD-like chaperone family TPR-repeat-containing protein,b2851,
ygeH,1.466910897847391,28.0,2985452.0,putative transcriptional regulator,b2852,
ygeI,1.6412376809308338,28.0,2987008.0,uncharacterized protein,b2853,
ygeN,1.523002700820757,28.0,2988672.0,No_gene_product,b2858,
ygiZ,1.3915115088897734,29.0,3165237.0,inner membrane protein,b3027,
yhaB,1.3879597622254651,30.0,3261212.0,uncharacterized protein,b3120,
arfA,1.3222877029695879,31.0,3431936.0,alternate ribosome-rescue factor A,b4550,
yhhZ,1.3753795098796264,32.0,3575808.0,putative Hcp1 family polymorphic toxin protein; putative colicin-like DNase/tRNase activity,b3442,
gadE,1.3726994409084787,33.0,3651725.0,gad regulon transcriptional activator,b3512,
waaU,1.4574458398351502,34.0,3791598.0,lipopolysaccharide core biosynthesis,b3623,['HEPT4']
waaS,1.554881294912127,35.0,3797540.0,lipopolysaccharide rhamnose:KdoIII transferase; lipopolysaccharide core biosynthesis protein,b3629,['RHAT1']
yigG,1.431831527088859,36.0,3996172.0,PRK11371 family inner membrane protein,b3818,
yjbI,1.3520877980353212,37.0,4240630.0,No_gene_product,b4038,
yjbS,1.5057021148818293,38.0,4258816.0,uncharacterized protein,b4621,
yjdK,1.410936773828578,39.0,4342400.0,,,
ecnB,1.3881914854835122,40.0,4366369.0,entericidin B membrane lipoprotein,b4411,
yjgL,1.4185031076846397,41.0,4465253.0,SopA-central-domain-like hexapeptide repeat protein,b4253,
