,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
thrL,1.3021450898495683,0.0,189.0,thr operon leader peptide,b0001,
leuO,1.3651755606974822,1.0,80854.0,global transcription factor,b0076,
yadC,1.7097049470937338,2.0,146201.0,putative fimbrial-like adhesin protein,b0135,
yadK,1.6039885396042617,2.0,147489.0,putative fimbrial-like adhesin protein,b0136,
yadL,1.3602974906107619,2.0,148112.0,putative fimbrial-like adhesin protein,b0137,
skp,1.4044263127862644,3.0,196968.0,periplasmic chaperone,b0178,
yaeP,1.3611500601562097,4.0,210432.0,UPF0253 family protein,b4406,
yafT,1.5305506253016445,5.0,233821.0,lipoprotein,b0217,
ykfM,2.009646059268009,5.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
yafU,1.6451648721758863,5.0,235520.0,No_gene_product,b0218,
ykfN,1.7545128832094259,6.0,258860.0,No_gene_product,b4626,
yagK,1.6131125944983575,7.0,288032.0,CP4-6 prophage; conserved protein,b0277,
yagL,1.8585274098021014,7.0,288930.0,CP4-6 prophage; DNA-binding protein,b0278,
yagM,2.1180153710219374,7.0,289655.0,CP4-6 prophage; uncharacterized protein,b0279,
ecpA,1.401548560641089,8.0,305794.0,ECP pilin,b0293,
ecpR,1.665464954365011,8.0,306456.0,putative transcriptional regulator for the ecp operon,b0294,
ykgL,1.6604731421491963,8.0,307822.0,uncharacterized protein,b0295,
ykgO,1.6570431211986714,8.0,308224.0,RpmJ-like protein,b4506,
ykgM,1.4537383737339968,8.0,308224.0,50S ribosomal protein L31 type B; alternative zinc-limitation L31 protein,b0296,
ykgR,2.325112841466054,8.0,308851.0,uncharacterized protein,b4671,
ykgP,1.995791990272529,8.0,309426.0,No_gene_product,b4630,
ykgQ,1.9078195308448231,8.0,313149.0,No_gene_product,b4631,
rclB,1.8818831654049264,8.0,314041.0,reactive chlorine species (RCS) stress resistance periplasmic protein,b0303,
ykgH,1.7571093680522802,9.0,320406.0,putative inner membrane protein,b0310,
yahL,1.6875737755104083,10.0,339968.0,uncharacterized protein,b0326,
yahO,1.4240887744033894,10.0,342194.0,"periplasmic protein, function unknown, YhcN family",b0329,
yaiV,1.5937798477681568,11.0,389961.0,putative transcriptional regulator,b0375,
hha,1.5365283953702047,12.0,475648.0,"modulator of gene expression, with H-NS",b0460,
tomB,1.7235388793539306,12.0,475789.0,Hha toxicity attenuator; conjugation-related protein,b0461,
ybbD,1.8403908393530808,13.0,524288.0,No_gene_product,b0501,
sfmA,1.6317490854875476,14.0,553667.0,"FimA homolog, function unknown",b0530,
sfmC,1.4643331107950033,14.0,555008.0,putative periplasmic pilus chaperone,b0531,
sfmZ,1.6116514268851583,14.0,559303.0,response regulator family protein,b0535,
emrE,1.7751725792184108,15.0,563770.0,DLP12 prophage; multidrug resistance protein,b0543,
ybcK,1.9781601326755953,15.0,565248.0,DLP12 prophage; putative recombinase,b0544,
ybcM,1.8281840809991987,15.0,567296.0,DLP12 prophage; putative DNA-binding transcriptional regulator,b0546,
ylcH,1.4257689144610604,15.0,567823.0,"uncharacterized protein, DLP12 prophage",b4588,
quuD,1.6531997559265692,16.0,569411.0,DLP12 prophage; putative antitermination protein,b0551,
