,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
thrL,1.4195644081597691,0.0,189.0,thr operon leader peptide,b0001,
rpsT,1.3621009995490796,1.0,20992.0,30S ribosomal subunit protein S20,b0023,
skp,1.3784644662111203,2.0,196968.0,periplasmic chaperone,b0178,
yaeP,1.5463638842998428,3.0,210432.0,UPF0253 family protein,b4406,
ykfN,1.378041120490996,4.0,258860.0,No_gene_product,b4626,
ykfF,1.4878294828194303,5.0,261120.0,CP4-6 prophage; uncharacterized protein,b0249,
yagE,1.5054995349809488,6.0,278528.0,2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage,b0268,
yagF,1.6874505162700686,6.0,278911.0,CP4-6 prophage; dehydratase family protein,b0269,
yagH,1.740818224473334,6.0,282499.0,CP4-6 prophage; putative xylosidase/arabinosidase,b0271,
paoB,1.4786481293834008,7.0,296960.0,"PaoABC aldehyde oxidoreductase, FAD-containing subunit",b0285,
ecpA,1.677483224808513,8.0,305794.0,ECP pilin,b0293,
betI,1.3995301492445051,9.0,324457.0,choline-inducible betIBA-betT divergent operon transcriptional repressor,b0313,
ybaB,1.4014670713719977,10.0,489531.0,"DNA-binding protein, putative nucleoid-associated protein",b0471,
ybaQ,1.4328104703711606,11.0,503808.0,putative DNA-binding transcriptional regulator,b0483,
ybbA,1.4697114044442268,12.0,515188.0,putative ABC transporter ATPase,b0495,
rnk,1.4907292001448231,13.0,639012.0,regulator of nucleoside diphosphate kinase,b0610,
citX,1.4772713325912084,13.0,643072.0,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,b0614,frozenset({<Reaction CITL at 0x7fcfa6b544e0>})
lptE,1.417917668693384,14.0,667060.0,"LPS assembly OM complex LptDE, lipoprotein component",b0641,
galE,1.3936214418467068,15.0,786494.0,UDP-galactose-4-epimerase,b0759,frozenset({<Reaction UDPG4E at 0x7fcfa6571da0>})
bioC,1.4624731909125857,16.0,806977.0,"malonyl-ACP O-methyltransferase, SAM-dependent",b0777,frozenset({<Reaction MALCOAMT at 0x7fcfa683d780>})
mntS,1.4134273093537761,17.0,848384.0,"Mn(2)-response protein, MntR-repressed",b4705,
ihfB,1.5723519932556504,18.0,959488.0,"integration host factor (IHF), DNA-binding protein, beta subunit",b0912,
rmf,1.5140621003669321,19.0,1011200.0,ribosome modulation factor,b0953,
torD,1.467682375329571,20.0,1057254.0,TorA-maturation chaperone,b0998,
rutF,1.356427397179923,21.0,1065315.0,flavin:NADH reductase,b1007,frozenset({<Reaction PYROX at 0x7fcfa668d9b0>})
yceB,1.351772133697538,22.0,1118208.0,"lipoprotein, DUF1439 family",b1063,
yceD,1.4780762543435388,23.0,1142249.0,DUF177 family protein,b1088,
rpmF,1.3625273976051169,23.0,1142822.0,50S ribosomal subunit protein L32,b1089,
ymfI,1.4097893757378752,24.0,1196952.0,e14 prophage; uncharacterized protein,b1143,
ymfJ,1.616528945074974,24.0,1197231.0,e14 prophage; uncharacterized protein,b1144,
ymfL,1.5412613800692403,24.0,1198723.0,e14 prophage; putative DNA-binding transcriptional regulator,b1147,
ldrA,1.8813568471467708,25.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.9987082807652252,25.0,1265693.0,"toxic polypeptide, small",b4423,
yciN,1.5056036528788486,26.0,1324673.0,DUF2498 protein YciN,b1273,
racC,1.4521196271051977,27.0,1411744.0,Rac prophage; uncharacterized protein,b1351,
hslJ,1.3732614572372353,28.0,1435648.0,heat-inducible lipoprotein involved in novobiocin resistance,b1379,
hokB,1.3342217903689466,29.0,1486178.0,"toxic polypeptide, small",b4428,
ydcH,1.5131933949492369,30.0,1492992.0,DUF465 family protein,b1426,
yddM,1.4842878839316387,31.0,1546752.0,putative DNA-binding transcriptional regulator,b1477,
cspB,1.349985999618359,32.0,1635595.0,Qin prophage; cold shock protein,b1557,
hokD,1.5167877955034246,32.0,1639424.0,Qin prophage; small toxic polypeptide,b1562,
relB,1.463265694100658,32.0,1639936.0,antitoxin of the RelE-RelB toxin-antitoxin syste; transcriptional repressor,b1564,
lpp,1.5720500679391878,33.0,1751677.0,murein lipoprotein,b1677,"frozenset({<Reaction ALPATG160pp at 0x7fcfa6bc4588>, <Reaction ALPATE160pp at 0x7fcfa6bc46a0>})"
ydiE,1.457924870332,34.0,1783869.0,hemin uptake protein HemP homolog,b1705,
osmE,1.4469630025823679,35.0,1816174.0,osmotically-inducible lipoprotein,b1739,
yoaG,1.4082172034214557,36.0,1873659.0,uncharacterized protein,b1796,
uspC,1.3732579651546992,37.0,1973233.0,universal stress protein,b1895,
yodD,1.7404789777933243,38.0,2018466.0,uncharacterized protein,b1953,
yoeF,1.5428444199362343,39.0,2072226.0,No_gene_product,b4538,
hisL,1.3765887956440754,40.0,2083476.0,his operon leader peptide,b2018,
ibsA,1.3781325631665429,41.0,2146829.0,toxic membrane protein,b4667,
ibsB,2.212720237337828,41.0,2147200.0,toxic membrane protein,b4668,
fruB,1.5545400375073746,42.0,2256896.0,fused fructose-specific PTS enzymes: IIA component/HPr component,b2169,frozenset({<Reaction FRUptspp at 0x7fcfa69a64a8>})
rplY,1.4831424441011045,43.0,2275995.0,50S ribosomal subunit protein L25,b2185,
napD,1.4597160556953397,44.0,2296320.0,assembly protein for periplasmic nitrate reductase,b2207,
eutL,1.5295159125343494,45.0,2549099.0,putative ethanol utilization carboxysome structural protein,b2439,
iscX,1.358442361970806,46.0,2649894.0,Fe(2+) donor and activity modulator for cysteine desulfurase,b2524,
grcA,1.4090173268324906,47.0,2709504.0,autonomous glycyl radical cofactor,b2579,"frozenset({<Reaction PFL at 0x7fcfa66f1ac8>, <Reaction OBTFL at 0x7fcfa6731860>})"
raiA,1.5624023884531668,48.0,2730512.0,cold shock protein associated with 30S ribosomal subunit,b2597,
pheL,1.5790435516774108,48.0,2730957.0,pheA gene leader peptide,b2598,
rplS,1.3917181068766666,49.0,2737541.0,50S ribosomal subunit protein L19,b2606,
rpsP,1.396263552461416,49.0,2739295.0,30S ribosomal subunit protein S16,b2609,
bamE,1.710748076309606,50.0,2746963.0,lipoprotein component of BamABCDE OM biogenesis complex,b2617,
ratB,1.7184341234441487,50.0,2747392.0,UPF0125 family protein,b2618,
ypjF,1.5393792520376524,51.0,2770944.0,CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system,b2646,
pncC,1.3642971761844067,52.0,2817207.0,nicotinamide-nucleotide amidohydrolase; NMN amidohydrolase,b2700,
ubiH,1.4734975012622284,53.0,3045698.0,"2-octaprenyl-6-methoxyphenol hydroxylase, FAD/NAD(P)-binding",b2907,frozenset({<Reaction OMPHHX at 0x7fcfa673e710>})
ibsC,1.883490509576197,53.0,3050248.0,toxic membrane protein,b4665,
yqgB,1.45491531522913,54.0,3079278.0,uncharacterized protein,b2939,
yqgF,1.5830240217402214,55.0,3086858.0,putative Holliday junction resolvase,b2949,
hybG,1.7087551246554873,56.0,3133074.0,hydrogenase 2 accessory protein,b2990,
hybF,2.0087870282937,56.0,3133440.0,protein involved with the maturation of hydrogenases 1 and 2,b2991,
hybE,1.5545759741172664,56.0,3133669.0,hydrogenase 2-specific chaperone,b2992,
rpsU,1.4367549384150344,57.0,3204139.0,30S ribosomal subunit protein S21,b3065,
rbfA,1.6718041277253768,58.0,3306135.0,30s ribosome binding factor,b3167,
secG,1.454581111347371,59.0,3315712.0,preprotein translocase membrane subunit,b3175,
yhcG,1.526652492156986,60.0,3361185.0,DUF1016 family protein in the PD-(D/E)XK nuclease superfamily,b3220,
nanK,1.4089625238591321,60.0,3362833.0,N-acetylmannosamine kinase,b3222,frozenset({<Reaction AMANK at 0x7fcfa6bd0588>})
yhcB,1.4977828977333945,61.0,3373549.0,DUF1043 family inner membrane-anchored protein,b3233,
rplQ,1.8253815468497863,62.0,3432974.0,50S ribosomal subunit protein L17,b3294,
rpsD,1.441551813550756,62.0,3434496.0,30S ribosomal subunit protein S4,b3296,
rpsM,1.3920802606778944,62.0,3435473.0,30S ribosomal subunit protein S13,b3298,
rplR,1.7659672980502885,63.0,3438602.0,50S ribosomal subunit protein L18,b3304,
rplF,1.5439684787768184,63.0,3438965.0,50S ribosomal subunit protein L6,b3305,
rpmC,1.3739119121733336,64.0,3441926.0,50S ribosomal subunit protein L29,b3312,
rplW,1.5374410953105804,65.0,3444740.0,50S ribosomal subunit protein L23,b3318,
rpsJ,1.573288817913429,65.0,3446317.0,30S ribosomal subunit protein S10,b3321,
rpsL,1.669377484783253,66.0,3467536.0,30S ribosomal subunit protein S12,b3342,
fkpA,1.4037530462351648,66.0,3469965.0,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),b3347,
yhfG,1.4674263358380397,67.0,3484811.0,putative antitoxin for Fic,b3362,
nirD,1.5093997822994862,67.0,3489909.0,nitrite reductase (NADH) small subunit,b3366,frozenset({<Reaction NTRIR2x at 0x7fcfa67246a0>})
hofN,1.4274557263267842,68.0,3514791.0,DNA catabolic putative fimbrial assembly protein,b3394,
yhhA,1.5693304889087591,69.0,3580302.0,DUF2756 family protein,b3448,
yibT,1.3863624039657592,70.0,3769530.0,uncharacterized protein,b4554,
ivbL,1.3232586448679298,71.0,3846249.0,ilvB operon leader peptide,b3672,
tisB,1.8522323549850994,71.0,3846912.0,"toxic membrane persister formation peptide, LexA-regulated",b4618,
atpH,1.5038364461154714,72.0,3913728.0,"F1 sector of membrane-bound ATP synthase, delta subunit",b3735,frozenset({<Reaction ATPS4rpp at 0x7fcfa6b16748>})
yshB,1.5196289821688043,73.0,4047006.0,uncharacterized protein,b4686,
zapB,1.463718446860073,74.0,4108442.0,"FtsZ stabilizer, septal ring assembly factor, cell division stimulator",b3928,
ftsN,1.5714623823578548,74.0,4112384.0,essential cell division protein,b3933,
rplL,1.5376535611278912,75.0,4170487.0,50S ribosomal subunit protein L7/L12,b3986,
yjbT,1.361276629974074,76.0,4229704.0,putative periplasmic protein,b4620,
phnN,1.5985605404723862,77.0,4305341.0,"ribose 1,5-bisphosphokinase",b4094,frozenset({<Reaction R15BPK at 0x7fcfa661c208>})
phnI,1.415898388167391,77.0,4309415.0,ribophosphonate triphosphate synthase complex putative catalytic subunit,b4099,
phnH,1.6526364411062147,77.0,4311040.0,ribophosphonate triphosphate synthase subunit,b4100,
yjdN,1.3834782525505382,78.0,4315136.0,metalloprotein superfamily protein,b4107,
pmrR,1.7026626186823057,78.0,4321932.0,putative membrane-bound BasS regulator,b4703,
yjdO,1.3407861131949268,79.0,4342784.0,,,
cutA,1.5313654013393254,80.0,4355072.0,"divalent-cation tolerance protein, copper sensitivity",b4137,
ecnA,1.423152840427441,81.0,4366133.0,"entericidin A membrane lipoprotein, antidote entericidin B",b4410,
ecnB,1.5270926816323578,81.0,4366369.0,entericidin B membrane lipoprotein,b4411,
priB,1.4336992290071773,82.0,4415488.0,primosomal protein N,b4201,
rplI,1.4721844030556606,82.0,4415924.0,50S ribosomal subunit protein L9,b4203,
ytfP,1.7154645932588641,83.0,4438016.0,GGCT-like protein,b4222,
