,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
yadK,1.3749256716216929,1.0,147489.0,putative fimbrial-like adhesin protein,b0136,
ykfN,1.3910738628732575,2.0,258860.0,No_gene_product,b4626,
ykgP,1.4115569454318186,3.0,309426.0,No_gene_product,b4630,
hha,1.4503485367156694,4.0,475648.0,"modulator of gene expression, with H-NS",b0460,
appY,1.4788653458361491,5.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ymfE,1.3882648196792065,6.0,1192988.0,e14 prophage; putative inner membrane protein,b1138,
ldrA,1.6815777967074221,7.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.4258661956466203,7.0,1265693.0,"toxic polypeptide, small",b4423,
tpr,1.4056308923125576,8.0,1282560.0,protamine-like protein,b1229,
tfaR,1.7943022878250754,9.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,1.9169058504536924,9.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ynbG,1.5012886898917623,10.0,1459456.0,uncharacterized protein,b4674,
ydcC,1.5814427282251,11.0,1526072.0,H repeat-associated putative transposase,b1460,
ydfK,1.8845516017162627,12.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.815689377398019,12.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
dicB,1.3990578601071053,13.0,1644032.0,Qin prophage; cell division inhibition protein,b1575,
wbbK,1.4555003362531393,14.0,2097152.0,lipopolysaccharide biosynthesis protein,b2032,['O16GLCT1']
wbbH,1.459037453545049,14.0,2099540.0,O-antigen polymerase,b2035,"['O16AP1pp', 'O16AP2pp', 'O16AP3pp']"
yehC,1.3842934876361934,15.0,2184404.0,putative periplasmic pilin chaperone,b2110,
yfaH,1.300894461166808,16.0,2343129.0,No_gene_product,b2238,
gtrS,1.5681285815864312,17.0,2463744.0,"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage",b2352,
evgA,1.3766915882935125,18.0,2477233.0,response regulator in two-component regulatory system with EvgS,b2369,
ypdI,1.405945105097248,19.0,2488320.0,putative lipoprotein involved in colanic acid biosynthesis,b2376,
ypdK,1.3554039786797953,19.0,2490399.0,inner membrane protein,b4680,
ypfM,1.319919928904707,20.0,2584192.0,stress-induced small enterobacterial protein,b4606,
shoB,1.296344194544069,21.0,2693504.0,toxic membrane protein,b4687,
yfjI,1.5251022143832256,22.0,2752512.0,CP4-57 prophage; uncharacterized protein,b2625,
ypjC,1.5169376840456184,23.0,2777088.0,No_gene_product,b2650,
ygaQ,1.3929448544652614,23.0,2779755.0,No_gene_product,b4462,
yqcG,1.5143264540667278,24.0,2898944.0,membrane stress resistance protein,b4682,
yqeH,1.437891610339561,25.0,2980894.0,putative LuxR family transcriptional regulator,b2846,
yqeJ,1.4777068163664713,25.0,2982662.0,uncharacterized protein,b2848,
yqeL,1.578353660056877,25.0,2983177.0,uncharacterized protein,b4683,
yqeK,1.463201755319327,25.0,2983293.0,uncharacterized protein,b2849,
ygeF,1.5704335741309357,25.0,2983936.0,No_gene_product,b2850,
ygeG,1.4308192620550448,25.0,2984626.0,SycD-like chaperone family TPR-repeat-containing protein,b2851,
